Broaders Of THIST Concept;THIST Concept's PrefLabel;THIST Concept  URI;EUROVOC Concept URI;EUROVOC Concept's PrefLabel;Broaders Of  EUROVOC Concept;"E =ExactMAtch ; C= CloseMatch ; B= broaderMatch ; N= NarrowMAtch   NA= in corrispondenza di una della righe dei mapping che secondo voi non sono da accettare;  (definizioni  relazioni di mapping sono rintracciabili su http://www.w3.org/TR/skos-reference/#mapping)"
Mediterranean region| Southern Europe| Spain;Balearic Islands;http://linkeddata.ge.imati.cnr.it/resource/ThIST/isolebaleari;http://eurovoc.europa.eu/3386;Balearic Islands;regions of Spain| regions of Spain| regions of Spain;E
Mediterranean Sea;Ligurian Sea;http://linkeddata.ge.imati.cnr.it/resource/ThIST/marligure;http://eurovoc.europa.eu/5222;Ligurian Sea;Mediterranean Sea;E
Mediterranean Sea| East Mediterranean;Black Sea;http://linkeddata.ge.imati.cnr.it/resource/ThIST/marnero;http://eurovoc.europa.eu/5736;Black Sea;sea| sea;E
metal ores;iron ores;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mineralediferro;http://eurovoc.europa.eu/1933;iron ore;metallic ore;E
metals;aluminum;http://linkeddata.ge.imati.cnr.it/resource/ThIST/alluminio;http://eurovoc.europa.eu/1446;aluminium;non-ferrous metal;E
metals;antimony;http://linkeddata.ge.imati.cnr.it/resource/ThIST/antimonio;http://eurovoc.europa.eu/3834;antimony;non-ferrous metal;E
metals;silver;http://linkeddata.ge.imati.cnr.it/resource/ThIST/argento;http://eurovoc.europa.eu/2514;silver;precious metal;E
metals;arsenic;http://linkeddata.ge.imati.cnr.it/resource/ThIST/arsenico;http://eurovoc.europa.eu/4084;semi-metal;metals;E
metals;bismuth;http://linkeddata.ge.imati.cnr.it/resource/ThIST/bismuto;http://eurovoc.europa.eu/4990;bismuth;non-ferrous metal;E
metals;cadmium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/cadmio;http://eurovoc.europa.eu/3836;cadmium;non-ferrous metal;E
metals;cobalt;http://linkeddata.ge.imati.cnr.it/resource/ThIST/cobalto;http://eurovoc.europa.eu/6018;cobalt;non-ferrous metal;E
metals;chromium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/cromo;http://eurovoc.europa.eu/5988;chromium;non-ferrous metal;E
metals;iron;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ferro;http://eurovoc.europa.eu/981;iron;ferrous metal;E
metals;manganese;http://linkeddata.ge.imati.cnr.it/resource/ThIST/manganese;http://eurovoc.europa.eu/1779;manganese;non-ferrous metal;E
metals;mercury;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mercurio;http://eurovoc.europa.eu/1880;mercury;non-ferrous metal;E
metals;precious metals;http://linkeddata.ge.imati.cnr.it/resource/ThIST/metalloprezioso;http://eurovoc.europa.eu/1886;precious metal;metals;E
metals;molybdenum;http://linkeddata.ge.imati.cnr.it/resource/ThIST/molibdeno;http://eurovoc.europa.eu/1964;molybdenum;non-ferrous metal;E
metals;nickel;http://linkeddata.ge.imati.cnr.it/resource/ThIST/nichel;http://eurovoc.europa.eu/2056;nickel;non-ferrous metal;E
metals;gold;http://linkeddata.ge.imati.cnr.it/resource/ThIST/oro;http://eurovoc.europa.eu/2156;gold;precious metal;E
metals;lead;http://linkeddata.ge.imati.cnr.it/resource/ThIST/piombo;http://eurovoc.europa.eu/2428;lead;non-ferrous metal;E
metals;copper;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rame;http://eurovoc.europa.eu/316;copper;non-ferrous metal;E
metals;tantalum;http://linkeddata.ge.imati.cnr.it/resource/ThIST/tantalio;http://eurovoc.europa.eu/3838;tantalum;non-ferrous metal;E
metals;titanium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/titanio;http://eurovoc.europa.eu/4462;titanium;non-ferrous metal;E
