sBT,sNT,sRT,s,sPrefLabel,sAltLabels
,,ductile deformation| elastic limit| strength| deformation| yield strength,http://linkeddata.ge.imati.cnr.it/resource/ThIST/resistenzaarottura,fracture strength,
,,mechanical properties| applied geology| roof bolts| elastic properties| tension| tensiometers| strength| failures| rupture| deformation| shear strength,http://linkeddata.ge.imati.cnr.it/resource/ThIST/resistenzaatrazione,tensile strength,
,,stress| mechanical properties| weak rocks| stressmeters| tensile strength| rock mechanics| thixotropy| compressive strength| deformation| yield strength| fracture strength| shear strength,http://linkeddata.ge.imati.cnr.it/resource/ThIST/resistenzameccanica,strength,
,,photosynthesis| processes| geochemistry,http://linkeddata.ge.imati.cnr.it/resource/ThIST/respirazione,respiration,
,,remediation| marbles| construction materials| decorative stones,http://linkeddata.ge.imati.cnr.it/resource/ThIST/restauro,restoration,
,,seismic networks| computer networks| monitoring| geodetic networks| arrays,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rete,networks,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/reteferroviaria,,
,,triangulation| theodolite| networks| geodesy| geophysical methods| very long baseline interferometry| geophysical surveys,http://linkeddata.ge.imati.cnr.it/resource/ThIST/retegeodetica,geodetic networks,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/reteidrografica,,
,,mass movements| rock mechanics| rockfalls| slope stability,http://linkeddata.ge.imati.cnr.it/resource/ThIST/reteparamassi,net fence,
,,seismic stations| seismic methods| networks| geophysical methods| seismic hazard| Vesuvius Observatory Italy| GEOS| geophysical surveys| arrays| seismology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/retesismica,seismic networks,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/retestradale,,
Triassic| Upper Triassic| Mesozoic,,Calcare Massiccio| Calcari di Gallaneto| Portoro| Europe| Europa Island| Calcare Cavernoso| Grezzoni| Noto Formation| Sciacca Formation| Formazione della Pania di Corfino| Calcare di Dachstein| Formazione di La Spezia| Dolomia a Conchodon,http://linkeddata.ge.imati.cnr.it/resource/ThIST/retico,Rhaetian,
,,minerals| structural crystallography| crystallography| crystal systems| defects,http://linkeddata.ge.imati.cnr.it/resource/ThIST/reticolocristallino,crystal lattice,
,,sea-floor spreading| faults| segmentation| mid-ocean ridges| plate tectonics| ocean floors| fractures| transform faults| fractured environment,http://linkeddata.ge.imati.cnr.it/resource/ThIST/reticolodifratture,fracture zones,
metamorphism,,dynamic metamorphism| prograde metamorphism| polymetamorphism| diaphthorite| transition facies,http://linkeddata.ge.imati.cnr.it/resource/ThIST/retrometamorfismo,retrograde metamorphism,
,,orogeny| compression tectonics| structural analysis| tectonic phase| crustal shortening| overthrust faults| fold and thrust belts,http://linkeddata.ge.imati.cnr.it/resource/ThIST/retroscorrimento,backthrusting,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rettili,,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rhamnales,,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rhizopoda,,
algae| thallophytes| microfossils| Plantae,Lithothamnium| Archaeolithothamnium| Gymnocodiaceae| Corallinaceae| Lithophyllum,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rhodophyta,Rhodophyta,
Llandoverian| Lower Silurian| Silurian| Paleozoic,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rhuddaniano,Rhuddanian,
,,neotectonics| faults| displacements,http://linkeddata.ge.imati.cnr.it/resource/ThIST/riattivazione,reactivation,
,,ash falls| pollution| radioactivity| isotopes| atmosphere,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ricadutaradioattiva,fallout,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ricerca,,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ricercaoperativa,,
,,programs| bibliography| current research| survey organizations| geology| associations| progress report,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ricercascientifica,research,
,,economic geology| economics| environmental geology| reclamation,http://linkeddata.ge.imati.cnr.it/resource/ThIST/riciclaggio,recycling,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ricostruzione,,
,,processes| geochemistry| Gleys| Eh| oxidation,http://linkeddata.ge.imati.cnr.it/resource/ThIST/riduzionechimica,reduction,
,,concretions| solution features| karst| geomorphology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/riempimentocarsico,karst filling,
,,streams| alluvium| continental sedimentation| detrital sedimentation| fluvial sedimentation| floods,http://linkeddata.ge.imati.cnr.it/resource/ThIST/riempimentofluviale,fluvial fill,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rif,Rif,
,,waste disposal| agriculture,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rifiutiagricoli,agricultural waste,
,,waste disposal| industrial waste| waste disposal sites| hazardous waste,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rifiutichimici,chemical wastes,
,,waste disposal| human ecology| waste disposal sites,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rifiutidomestici,human waste,
,,solid waste| waste water| waste disposal| radioactive waste| liquid waste| environmental geology| waste disposal sites| pollution| chemical wastes| PCBs,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rifiutiindustriali,industrial waste,
,,solid waste| waste water| waste disposal| applied geology| radioactive waste| industrial waste| environmental geology| waste disposal sites| detergents| sludge| ground water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rifiutiliquidi,liquid waste,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rifiutiorganici,,
,,toxic materials| waste disposal| radioactive waste| environmental geology| waste disposal sites| pollution| chemical wastes,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rifiutipericolosi,hazardous waste,
,,sewage sludge| waste disposal| applied geology| radioactive waste| industrial waste| liquid waste| environmental geology| waste disposal sites| sludge,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rifiutisolidi,solid waste,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rifiutochimico,,
,,dip moveout| reflectograms| normal moveout| seismic surveys| geophysical surveys| refraction| diffraction| moveout| seismology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/riflessionedonda,reflection,
,,consumption| sediment supply| economics| markets| water supply,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rifornimento,supply,
,,wave motion| reflection| seismic surveys| geophysical surveys| diffraction| seismology| refractive index,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rifrazionedonda,refraction,
Latvia,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/riga,Riga Latvia,
,,faults| dip-slip faults| transcurrent faults| nappes| slip rates| wrench faults| reactivation| drag folds| reverse faults| seismic moment| overthrust faults| transform faults,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rigetto,displacements,
,,elastic strain| creep| geotechnics| strain| plastic deformation| tunnels,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rigonfiamento,swelling,
,glacial rebound,neotectonics| uplifts| isostatic compensation| tectonics| glacial geology| isostasy| deglaciation,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rilascioisostatico,isostatic rebound,
,,detection limit| earthquakes| background level| analytical method,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rilevabilita,detection,
prospecting| geophysical surveys,,acoustical methods| environmental monitoring| sonar methods| Seabeam| acoustical logging| ultrasonic methods,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rilevamentoacustico,acoustical surveys,
prospecting,geophysical anomaly| electrical surveys| thermal prospecting| gravity surveys| Earth-current surveys| electromagnetic surveys| magnetic surveys| infrared surveys| radioactivity surveys| seismic surveys| acoustical surveys| magnetotelluric surveys,geophysical survey maps| well-logging| signal-to-noise ratio| electrical sounding| seismic networks| mineral exploration| marine methods| sounding| direct-current methods| apparent resistivity| automated analysis| induced polarization| gravity profile| frequency sounding| reflection| research vessels| multichannel methods| applied geology| helicopter methods| geodesy| Geosat| geophysics| geophysical methods| passive methods| heat flow| resistivity| sonar methods| audiomagnetotelluric methods| dipole-dipole methods| geophysical profiles| deep magnetic sounding| radar methods| audiomagnetotelluric surveys| magnetic susceptibility| electrical exploration| Seabeam| maps| imagery| aeromagnetic maps| laser ranging| isogons| gravity field| multispectral scanner| hydrogeological survey| electrical anomalies| magnetic anomalies| field geology| inverse problem| lunar laser ranging| satellite methods| airborne methods| high-resolution methods| sonobuoys| monitoring| mining geology| engineering geology maps| GEOS| Bouguer anomalies| very long baseline interferometry| electromagnetic field| refraction| gravity anomalies| geodetic networks| echo sounding| SPOT| self-potential methods| bathymetry| Landsat| remote sensing| arrays| deep seismic sounding| electromagnetic logging| ultrasonic methods| gravity survey maps| magnetic field| ground water| ground methods| isostasy| magnetic survey maps,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rilevamentogeofisico,geophysical surveys,
prospecting| geophysical surveys,,microgravimetric methods| gravity profile| gravity methods| gravity logging| gravity anomalies| gravity survey maps,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rilevamentogravimetrico,gravity surveys,
,,environmental monitoring| water resources| geophysical surveys,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rilevamentoidrogeologico,hydrogeological survey,
prospecting| geophysical surveys,,infrared methods| field geology| remote sensing,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rilevamentoir,infrared surveys,
prospecting| geophysical surveys,,magnetic observation| SQUID| magnetic methods| deep magnetic sounding| aeromagnetic maps| magnetic logging| isogons| magnetic anomalies| magnetometers| airborne methods| nonmagnetic minerals| total-field methods| magnetic field| vertical-gradient methods| magnetic survey maps| aeromagnetic survey,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rilevamentomagnetico,magnetic surveys,
prospecting| geophysical surveys,,electromagnetic methods| audiomagnetotelluric methods| magnetotelluric methods| Earth-current surveys| electromagnetic surveys| magnetic field,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rilevamentomagnetotellurico,magnetotelluric surveys,
prospecting| geophysical surveys,,radon emanometry| radioactivity| radioactivity methods| radioactivity survey maps,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rilevamentoradiometrico,radioactivity surveys,
prospecting| geophysical surveys,,telluric methods| magnetotelluric surveys,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rilevamentotellurico,Earth-current surveys,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rilievo,,
,,seamounts| submarine dunes| deep-sea environment| submarine volcanoes| bottom features,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rilievoabissale,abyssal hills,
,,pockmarks| isobaths| trenches| sand ridges| submarine dunes| deep-sea environment| troughs| guyot| submarine volcanoes| benthonic taxa| black smokers| mid-ocean ridges| hydrothermal vents| gravity flows| marine geology| marginal basins| abyssal plains| furrows| submarine canyons| oceanography| ocean floors| abyssal hills,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rilievosottomarino,bottom features,
,,neotectonics| vertical displacements| uplifts| fluvial erosion,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ringiovanimentomorfologico,relief rejuvenation,
,,Brazil| Perù| Amazon River Basin| ParÓ Brazil| Amazonas Brazil,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rioamazonas,Amazonas River,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/riparazione,,
,,forests| tundra| savannas| prairies| grasslands| steppes| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ripiantumazione,revegetation,
,,pumping| discharge| recovery| ground water| water wells,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ripristinodifalda,water recovery,
,,paleontology| larvae| sexual dimorphism,http://linkeddata.ge.imati.cnr.it/resource/ThIST/riproduzione,reproduction,
isostatic rebound,,glaciation| uplifts| Greenland| Fennoscandia| glacial geology| isostasy,http://linkeddata.ge.imati.cnr.it/resource/ThIST/risalitaglaciale,glacial rebound,
,,climate| climatic controls| global| greenhouse effect| temperature| climate effects| climate change,http://linkeddata.ge.imati.cnr.it/resource/ThIST/riscaldamentoglobale,global warming,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rischio,,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rischiodiinquinamento,,
,,hurricanes| risk assessment| geologic hazards| seismic hazard| prevention| torrents,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rischionaturale,natural hazards,
,,seismic zoning| risk assessment| applied geology| geologic hazards| safety| seismic hazard| prevention| seismic response| microzonation| nuclear facilities,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rischiosismico,seismic risk,
,,risk assessment| applied geology| volcanic gase| volcanism| geologic hazards| safety| Vesuvius Observatory Italy| volcanic earthquakes| quiescence| prevention| effects| eruptions| periodicity,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rischiovulcanico,volcanic risk,
,,strategic minerals| resources| ore grade| prediction maps,http://linkeddata.ge.imati.cnr.it/resource/ThIST/riserva,reserves,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/riservamarina,,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/riservanaturale,,
,,reserves| regulations| conservation| water resources| energy sources| mineral resources| natural resources,http://linkeddata.ge.imati.cnr.it/resource/ThIST/risorse,resources,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/risorseeconomiche,,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/risorseenergetiche,,
,,hydrogeology| desalinization| drought| groundwater level| reservoirs| water treatment| ponds| surface water| potability| hydrology| water hardness| economic geology| pumping| thermal waters| medicinal waters| water consumption| artesian waters| purification| well screens| resources| phreatic water| environmental geology| springs| hydrogeological survey| aquifers| decontamination| water management| water reserve| energy sources| protected well zones| lakes| water yield| drinking water| water storage| hydroelectric energy| water quality| bottling| representative basins| fresh water| basin management| ground-water provinces| water supply| ground water| water harnessing| water wells| utilization,http://linkeddata.ge.imati.cnr.it/resource/ThIST/risorseidriche,water resources,
,,resources| environmental geology| conservation| depletion| wilderness areas| land use| reclamation| land cover maps| land management| utilization,http://linkeddata.ge.imati.cnr.it/resource/ThIST/risorsenaturali,natural resources,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/risparmioenergetico,,
,,railroads| seismic risk| reservoirs| seismic prospecting| applied geology| foundations| earthquakes| acceleration| marine installations| underground installations| aseismic design| highways| soil mechanics| tunnels| microzonation| dams| soil-structure interface| waterways| seismology| nuclear facilities,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rispostasismica,seismic response,
,,embankments| applied geology| plastic materials| shorelines| seawalls| slope stability| tunnels| waterways,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rivestimento,revetments,
,,soft rocks| metasomatic rocks| standard rocks| metaigneous rocks| volcanic rocks| metasedimentary rocks| weak rocks| host rocks| chemically precipitated rocks| country rocks| source rocks| carbonate rocks| bedrock| aggregate| crystalline rocks| extrusive rocks| reservoir rocks| silicate rocks| metavolcanic rocks| inclusions| tight sands| sedimentary rocks| fluid inclusions| cap rock| plutonic rocks| hypabyssal rocks| paragenesis| metaplutonic rocks| metamorphic rocks,http://linkeddata.ge.imati.cnr.it/resource/ThIST/roccia,rocks,
,,salt tectonics| rocks| sealing| geothermal energy| petroleum| gypsum| anhydrite| salt domes| petroleum geology| reservoir rocks| diapirs,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rocciadicopertura,cap rock,
,,rocks| host rocks| wall-rocks| veins| mineral deposits genesis| aureoles| igneous rocks| inclusions| assimilation| wall-rock alteration| hybridization| contamination| magmas| contact metamorphism| intrusions,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rocciaincassante,country rocks,
,,overpressure| rocks| geothermal energy| petroleum| geothermics| reservoir properties| sedimentation| petroleum exploration| petroleum engineering| source rocks| low-level geothermal energy| high-level geothermal energy| stratigraphic wedges| roughness| enhanced recovery| petroleum geology| naturally fractured reservoirs| natural gas| geothermal reservoirs| oil and gas fields| tight sands| geopressure| porosity| cap rock| meteoric water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rocciaserbatoio,reservoir rocks,
Tetrapoda| Chordata| Theria| Mammalia| Vertebrata| Eutheria,Neotoma| Pliomys| Muridae| Castoridae| Hystricomorpha| Microtus| Allophaiomys| Sciuromorpha| Myomorpha| Gliridae| Arvicolidae| Cricetidae,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rodentia,Rodentia,
metals| platinum group,,rhodium ores,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rodio,rhodium,
Europe| Europa Island| Southern Europe,Carpathians| Apuseni Mountains| Bucharest Romania| Walachia,Carpathians| Moldavian Platform| Transylvanian Basin| Danube Plain| Moldava Valley| Transylvania| Danube Delta| Black Sea region| Danube River Basin| Carpathian Foredeep| Danube River| Balkan Peninsula| Transylvanian Alps| Carpathian Foreland| Pannonian Basin| Danube Valley,http://linkeddata.ge.imati.cnr.it/resource/ThIST/romania,Romania,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rosaceae,,
Cosenza Italy,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rose,,
Commonwealth of Independent States| Asia| Eurasia,Lake Baikal| Moscow| Siberia| Kamchatka Peninsula,Caucasus| Azov Sea| USSR| Urals,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rossiya,Russia,
,,length of day| plate rotation| precession| Earth| motions,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rotazione,rotation,
,,rotation| plate tectonics| plates,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rotazionediplacca,plate rotation,
,,nutation| precession| obliquity of the ecliptic| Earth| Earth-Moon couple| eccentricity,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rotazioneterrestre,Earth rotation,
metals| alkali metals,Rb-87/Sr-86,lithophile elements| Rb/Sr| isotopes,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rubidio,rubidium,
,,condensation| humidity| brines| moisture,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rugiada,dew,
Tetrapoda| Chordata| Theria| Mammalia| Vertebrata| Eutheria| Artiodactyla,Camelidae| Bison| Bos primigenius| Cervus| Bovidae| Cervidae| Tylopoda| Bos,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ruminantia,Ruminantia,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rumore,,
,,signal-to-noise ratio| geophysical methods| microseisms| filters| signals| seismology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rumoredifondo,noise,
Tertiary| Cenozoic| Oligocene| Paleogene| lower Oligocene,,Arenarie di Sangonini| Formazione di Pesco Falcone| Europe| Europa Island| Stampian| Ranzano Formation| Argille Varicolori| Sienite di Biella| Petrignacola Sandstones| Pianfolco Formation,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rupeliano,Rupelian,
,,retention| earth pillars| precipitation| surface water| hydrology| rain wash| water balance| streams| discharge| divides| Rijeka Croatia| rivers| hydrologic cycle| storms| streamflow| sediment yield| water yield| meteoric water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ruscellamento,runoff,
streams| fluvial features,,wadis| arroyos,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ruscellotemporaneo,ephemeral streams,
metals| platinum group,Ru-106,ruthenium ores,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rutenio,ruthenium,
Africa| Central Africa,Kigali Rwanda,East African Rift| Lake Kivu,http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda,Rwanda,
Europe| Europa Island| Central Europe| Germany,,Saar Basin,http://linkeddata.ge.imati.cnr.it/resource/ThIST/saarland,Saarland Germany,
clastic sediments| sediments| Vercelli Italy,shell sand,soils| gravel| greensand| sand sheets| arenaceous texture| rounding| alluvium| grus| terrigenous materials| quartz sand| aggregate| grains| loam| ergs| sands| construction materials| silica| carbonate sediments| quicksand| psammitic| psammite| silt,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sabbia,sand,
organic residues| sedimentary rocks,,petroleum| organic materials| bituminous shale| petroleum geology| energy sources| tight sands| gas sands,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sabbiabituminosa,oil sands,
,,sand| chemical weathering| desagregation| weathering,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sabbione,grus,
,,slopes| gravity sliding| gravity tectonics| deep gravity deformation| landslides| slope stability,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sackung,sackung,
Africa,Western Sahara,Algeria| Algeri Algeria| Libya| Libyan Desert| Fezzan| Niger| Chad| Mauritania| Sahel| hammadas| Morocco| ergs| Egypt| Sudan| Tunis Tunisia| Tunisia,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahara,Sahara,
Africa| North Africa| Sahara,Atlantic Ocean,Morocco,http://linkeddata.ge.imati.cnr.it/resource/ThIST/saharaoccidentale,Western Sahara,
Africa,,Niger| Chad| Mauritania| Mali| Sahara| Senegal,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahel,Sahel,
Africa| United Kingdom,,islands| Atlantic Ocean,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sainthelena,Saint Helena,
Caribbean region| Lesser Antilles| Central America| Antilles| West Indies,Castries Saint Lucia,Caribbean Sea,http://linkeddata.ge.imati.cnr.it/resource/ThIST/saintlucia,Saint Lucia,
Commonwealth of Independent States| Asia,Tblisi,Caucasus| USSR| Transcaucasia,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sakartvelo,Georgian Republic,
Permian| Lower Permian| Paleozoic,,Saxonian| Autunian| Europe| Europa Island,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sakmariano,Sakmarian,
,,host rocks| country rocks| veins| hypabyssal rocks,http://linkeddata.ge.imati.cnr.it/resource/ThIST/salbanda,wall-rocks,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sale,,
evaporites| chemically precipitated rocks| sedimentary rocks,,evaporite deposits| salinity| salt tectonics| desalinization| brines| iodine deposits| sodium chloride| chlorine| paleosalinity| salt domes| bromine| evaporitic rock| bromine deposits| halite| diapirs| sea water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/salgemma,salt,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/salicaceae,,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/salina,,
,,brackish-water environment| salt marshes| desalinization| soils| water treatment| paleoecology| hydrochemistry| sedimentation| brackish water| springs| Solonchak soils| paleosalinity| salt| hypersaline environment| saline composition| soil management| soil treatment| sea water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/salinita,salinity,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/salmotrutta,,
,,wind transport| sedimentation| stream transport| sediment transport,http://linkeddata.ge.imati.cnr.it/resource/ThIST/saltazione,saltation,
metals| rare earths,Sm-147/Nd-144,Sm/Nd,http://linkeddata.ge.imati.cnr.it/resource/ThIST/samario,samarium,
Oceania,Apia Samoa,Polynesia| islands| Pacific Ocean,http://linkeddata.ge.imati.cnr.it/resource/ThIST/samoa,Samoa,
bedding plane irregularities| sedimentary structures,,sand waves| bars| shore features| longshore bars| bottom features| ergs| ripple marks| dunes| barrier beaches| megaripples,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sandridge,sand ridges,
eolian features,,sand seas| sand| ergs| dunes| deserts,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sandsheets,sand sheets,
San Marino| San Marino San Marino| Europe| Europa Island| Southern Europe,San Marino| San Marino San Marino,Apennines| Italy| Montefeltro| Tuscanian Emilian Appennines| Marecchia River Basin,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sanmarino,San Marino,
San Marino| San Marino San Marino| Europe| Europa Island| Southern Europe,San Marino| San Marino San Marino,Apennines| Italy| Montefeltro| Tuscanian Emilian Appennines| Marecchia River Basin,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sanmarino,San Marino San Marino,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/santalucia,,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/santelena,Saint Helena,
Mesozoic| Cretaceous| Upper Cretaceous| Senonian,,Europe| Europa Island,http://linkeddata.ge.imati.cnr.it/resource/ThIST/santoniano,Santonian,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sapindaceae,,
Italy| Southern Europe,Alghero Italy| Nuoro Italy| Sassari Italy| Orosei Italy,Conglomerati Basali Sardi| Escalaplano Formation| Mediterranean region| Rio su Luda Formation| Verrucano Sardo| Tacchi| Caprera Island| Punta su Nuraxi Formation| Nuoro Italy| Formazione Muschelkalk| Buntsandstein| Metallifero Sardo,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sardegna,Sardinia Italy,
Canada,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/saskatchewan,,
Europe| Europa Island| Central Europe| Germany,,Erzgebirge| Schwarzenberg Germany| Saxony-Thuringia| Saxonian Massif| Vogtland,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sassonia,Saxony Germany,
,Mimas Satellite| Dione Satellite| Iapetus Satellite| Janus Satellite| Oberon Satellite| Triton Satellite| Adrastea Satellite| Hyperion Satellite| Galilean satellites| Enceladus Satellite| Tethys Satellite| Phobos Satellite| Umbriel Satellite| Callisto Satellite| Europa Satellite| Charon Satellite| icy satellites| Deimos Satellite| Phoebe Satellite| Titania Satellite| Moon| Ariel Satellite| Nereid Satellite| Miranda Satellite| Ganymede Satellite,orbit| Uranus| Saturn| Neptune| Mars| Pluto| Jupiter,http://linkeddata.ge.imati.cnr.it/resource/ThIST/satellite,satellites,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/satelliteartificiale,,
,,soils| oversaturation| concentration| hydrochemistry| undersaturated| geochemistry| springs| solubility| dilution| undersaturation| water| sea water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/saturazione,saturation,
planets| outer planets,,satellites| Mimas Satellite| Dione Satellite| Iapetus Satellite| Janus Satellite| Voyager 1| Hyperion Satellite| planetary rings| Enceladus Satellite| Tethys Satellite| solar system| planetology| Phoebe Satellite| Voyager 2,http://linkeddata.ge.imati.cnr.it/resource/ThIST/saturno,Saturn,
Tetrapoda| Diapsida| Chordata| Vertebrata| Reptilia,Plesiosauria| Nothosauria,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sauropterygia,Sauropterygia,
,,Africa| revegetation| plains| geomorphology| grasslands| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/savana,savannas,
Europe| Europa Island| France| Western Europe,,Alps| Western Alps| Haute-Savoie France| Graian Alps,http://linkeddata.ge.imati.cnr.it/resource/ThIST/savoia,Savoy,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/saxifragaceae,,
,,dams| ground water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/sbarramentoidrogeologico,ground-water dams,
,,cartography| maps,http://linkeddata.ge.imati.cnr.it/resource/ThIST/scalacartografica,cartographic scales,
,,chronostratigraphy| stratigraphic classification| time scales,http://linkeddata.ge.imati.cnr.it/resource/ThIST/scalacronostratigrafica,chronostratigraphic classification,
,,earthquakes| seismic intensity| seismology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/scalamercallimodificata,modified Mercalli scale,
,,magnitude| earthquakes| seismology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/scalarichter,Richter Scale,
,,stratigraphic sequence| stratigraphic columns| chronostratigraphic classification,http://linkeddata.ge.imati.cnr.it/resource/ThIST/scalastratigrafica,stratigraphic classification,
,,electrolytes| soils| crystal chemistry| hydrochemistry| geochemistry| diffusivity| anions| cation exchange capacity| exchange capacity| diffusion| ions| clay mineralogy| crystal structure| sea water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/scambioionico,ion exchange,
