sBT,sNT,sRT,s,sPrefLabel,sAltLabels
,Lake Rudolf| Libya| Central African Republic| Nigeria| West African Shield| Tripoli Libya| Libyan Desert| Gambia| Eritrea| Ogooué River| Bushveld Complex| Nile Delta| Guinea| Seychelles| Lake Tanganyika| Ghana| São Tomé and Prìncipe| Liberia| West Africa| Burundi| Niger| Chad| Mauritania| Afar| Tassili n'Ajjer| Lake Kivu| Karroo Basin| Accra Ghana| Nubia| Maghreb| Suez Canal| Gabon| Zimbabwe| Ethiopia| Kilimanjaro| Kufra Basin| Guinea-Bissau| Europe| Europa Island| Lake Victoria| Central Africa| Somalia| Comoros| Burkina Faso| Sahel| East Africa| Mozambique| Swaziland| Southern Africa| Mayotte| East African Lakes| Morocco| Tibesti Massif| Democratic Republic of Congo| North Africa| Cirenaica| Zambia| Ivory Coast| Tigre Ethiopia| Niger Delta| Mali| Chad Basin| Tripolitania| Nile River| Egypt| Djibouti Djibouti| Djibouti| Afar Depression| Sudan| Rwanda| Sierra Leone| Lake Chad| Mount Kenya| Atlas Mountains| Bassas da India| Namibia| Madagascar| Sirte Basin| Congo| Tunis Tunisia| Tunisia| Juan de Nova Island| Sahara| Reunion| Western Sahara| Togo| Lesotho| Saint Helena| Nile Valley| Kenya| Equatorial Guinea| Cameroon| Tibesti Libya| Malawi| Congo River Basin| Dankalia| Senegal| Middle Nile Valley,Cape Verde Islands| Gondwana| Tethys| Nubian Sandstone| savannas| Paleotethys| Pan-African Orogeny| African Plate| Mozambique Channel| Katangan Orogeny,http://linkeddata.ge.imati.cnr.it/resource/ThIST/africa,Africa,
Africa,Central African Republic| Ogooué River| São Tomé and Prìncipe| Burundi| Lake Kivu| Gabon| Congo River| Angola| Democratic Republic of Congo| Rwanda| Equatorial Guinea,West Africa| East Africa| Southern Africa| North Africa,http://linkeddata.ge.imati.cnr.it/resource/ThIST/africacentrale,Central Africa,
Africa,Bushveld Complex| Botswana| Karroo Basin| Zimbabwe| Europe| Europa Island| Swaziland| Bassas da India| Namibia| South Africa| Lesotho,Damara Orogeny| West Africa| Central Africa| East Africa| North Africa,http://linkeddata.ge.imati.cnr.it/resource/ThIST/africameridionale,Southern Africa,
Africa,Cape Verde Islands| Nigeria| Gambia| Gambie River| Guinea| Ghana| Liberia| Chad| Mauritania| Accra Ghana| Guinea-Bissau| Niger River| Burkina Faso| Benin| Tibesti Massif| Democratic Republic of Congo| Ivory Coast| Niger Delta| Mali| Senegal River| Sierra Leone| Lake Chad| Congo| Togo| Cameroon| Senegal,Birrimian| Madeira| Central Africa| East Africa| Southern Africa| North Africa,http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaoccidentale,West Africa,
Africa,Lake Rudolf| Eritrea| Seychelles| Ethiopia| Kilimanjaro| Lake Victoria| Somalia| Comoros| Mozambique| Mayotte| Zambia| Tigre Ethiopia| Djibouti Djibouti| Djibouti| Afar Depression| Sudan| Mount Kenya| Uganda| Juan de Nova Island| Reunion| Kenya| Malawi| Dankalia,Lake Tanganyika| West Africa| Central Africa| Southern Africa| North Africa| Mozambique Channel,http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaorientale,East Africa,
,,chelation| complexing| metals| inorganic materials| organic materials| bonding| ions,http://linkeddata.ge.imati.cnr.it/resource/ThIST/agentedichelazione,ligands,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/aglio,,
Trilobitomorpha| Trilobita| Arthropoda| Invertebrata,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/agnostida,Agnostida,
,,fertilizers| soils| tillage| fertilization| agricultural waste| channelization| land use| rural areas| land management,http://linkeddata.ge.imati.cnr.it/resource/ThIST/agricoltura,agriculture,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/agronomia,,
,,acoustical methods| seismic methods| geophysical methods| instruments,http://linkeddata.ge.imati.cnr.it/resource/ThIST/airgun,air guns,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/aizoaceae,,
Middle East| Arabian Peninsula| Asia,Manama Bahrain,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/al-bahrayn,Bahrain,
organic materials| organic acids| amino acids| acids,,geochemistry,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alanina,alanine,
Middle East| Arabian Peninsula| Asia,Riyadh Saudi Arabia,Arabian Shield| Red Sea Basin| Arabian Plate,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alarabiyahassuudiyah,Saudi Arabia,
United States of America,,North America| Rocky Mountains,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alaska,Alaska,
,,forests,http://linkeddata.ge.imati.cnr.it/resource/ThIST/albero,trees,
Canada,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alberta,,
Trento Italy| Lower Cretaceous| Mesozoic| Cretaceous,,Calcare del Cellina| Ofioliti del Monte Beigua| Mattinata Limestones,http://linkeddata.ge.imati.cnr.it/resource/ThIST/albiano,Albian,
,,pH| buffers| geochemistry| sodium hydroxide| alkali granites,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alcalinita,alkalinity,
aliphatic hydrocarbons| organic materials| hydrocarbons,phytane| pentane| ethane| paraffins| pristane| butane| n-alkanes| propane| methane,biomarkers| saturated hydrocarbons,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alcano,alkanes,
aliphatic hydrocarbons| organic materials| hydrocarbons,ethylene,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alchene,alkenes,
aliphatic hydrocarbons| organic materials| hydrocarbons,acetylene,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alchino,alkynes,
organic materials,sterols,phenols,http://linkeddata.ge.imati.cnr.it/resource/ThIST/alcool,alcohols,
