oBT,oNT,oRT,o,oPrefLabel,oAltLabels
reproduction (biological),,embryogenesis,http://www.eionet.europa.eu/gemet/concept/13111,ontogenesis,
life cycle,,,http://www.eionet.europa.eu/gemet/concept/13118,biological cycle,
industrial process,aerial photography,photochemical product,http://www.eionet.europa.eu/gemet/concept/13123,photography,
geography,,,http://www.eionet.europa.eu/gemet/concept/13170,economic geography,
physical process,water aeration,ventilation,http://www.eionet.europa.eu/gemet/concept/132,aeration,
type of waste,,special waste,http://www.eionet.europa.eu/gemet/concept/1341,chemical waste,
science| science| science| science| science| science| science| science| science,physical chemistry| atmospheric chemistry| general chemistry| inorganic chemistry| biogeochemistry| environmental chemistry| biochemistry| organic chemistry| analytical chemistry,,http://www.eionet.europa.eu/gemet/concept/1348,chemistry,
building component,,,http://www.eionet.europa.eu/gemet/concept/1355,chimney,
landform,,,http://www.eionet.europa.eu/gemet/concept/13552,bank (land),
coastal area,,,http://www.eionet.europa.eu/gemet/concept/13567,salina,
thermal equipment,,,http://www.eionet.europa.eu/gemet/concept/13613,oven,
inorganic substance,,salt,http://www.eionet.europa.eu/gemet/concept/1366,chloride,
element of group VII,,,http://www.eionet.europa.eu/gemet/concept/1373,chlorine,
halogenated hydrocarbon| halogenated hydrocarbon,partially halogenated chlorofluorohydrocarbon| freon,,http://www.eionet.europa.eu/gemet/concept/1381,chlorofluorocarbon,
biochemical substance,,photosynthesis,http://www.eionet.europa.eu/gemet/concept/1391,chlorophyll,
laboratory technique,gas chromatography,chromatographic analysis,http://www.eionet.europa.eu/gemet/concept/1400,chromatography,
transition element,,heavy metal,http://www.eionet.europa.eu/gemet/concept/1401,chromium,
alga,diatom,,http://www.eionet.europa.eu/gemet/concept/1406,chrysophyta,
engineering,,,http://www.eionet.europa.eu/gemet/concept/1434,civil engineering,
protective measure,,,http://www.eionet.europa.eu/gemet/concept/1436,civilian protection,
administrative procedure| administrative procedure,waste classification| land use classification,,http://www.eionet.europa.eu/gemet/concept/1447,classification,
rock,,,http://www.eionet.europa.eu/gemet/concept/1449,clay,
