oBT,oNT,oRT,o,oPrefLabel,oAltLabels
dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance| dangerous substance,,product safety| veterinary drug| storage| medicament| food poisoning| toxicology| product safety| veterinary drug| storage| medicament| food poisoning| toxicology| product safety| veterinary drug| storage| medicament| food poisoning| toxicology| product safety| veterinary drug| storage| medicament| food poisoning| toxicology| product safety| veterinary drug| storage| medicament| food poisoning| toxicology| product safety| veterinary drug| storage| medicament| food poisoning| toxicology,http://eurovoc.europa.eu/3135,toxic substance,toxic waste| toxic waste| toxic waste| toxic waste| toxic waste| toxic waste| toxic discharge| toxic discharge| toxic discharge| toxic discharge| toxic discharge| toxic discharge| toxic product| toxic product| toxic product| toxic product| toxic product| toxic product| harmful substance| harmful substance| harmful substance| harmful substance| harmful substance| harmful substance| toxicity| toxicity| toxicity| toxicity| toxicity| toxicity| dioxin| dioxin| dioxin| dioxin| dioxin| dioxin
environmental policy| environmental policy| environmental policy| environmental policy| environmental policy| environmental policy,,,http://eurovoc.europa.eu/3139,environmental impact,effect on the environment| ecological balance sheet| eco-balance| environmental effect| environmental assessment| ecological assessment
OAS countries| Greater Antilles| ACP countries| ALADI countries| LAES countries,,,http://eurovoc.europa.eu/314,Cuba,Republic of Cuba| Republic of Cuba| Republic of Cuba| Republic of Cuba| Republic of Cuba
geophysical environment,,,http://eurovoc.europa.eu/3154,estuary,
natural disaster,,soil science,http://eurovoc.europa.eu/3158,erosion,
non-ferrous metal,,,http://eurovoc.europa.eu/316,copper,
,,ethnology| cultural geography,http://eurovoc.europa.eu/317,culture,
international affairs| international affairs| international affairs,,monetary relations| World Bank| economic union,http://eurovoc.europa.eu/3219,economic relations,financial relations| financial relations| financial relations
financial market,,,http://eurovoc.europa.eu/3233,stock exchange,stock market
cost-effectiveness analysis,,competitiveness,http://eurovoc.europa.eu/3283,profitability,
geology,,,http://eurovoc.europa.eu/3294,petrology,
ACP countries| Arab League countries| East Africa,,,http://eurovoc.europa.eu/33,Comoros,Union of the Comoros| Union of the Comoros| Union of the Comoros
statistics| statistics| statistics,,distribution of schools| location of industry| demography,http://eurovoc.europa.eu/3326,geographical distribution,
documentary tool,,,http://eurovoc.europa.eu/3342,directory,
EU Member State| Nordic Council countries| OECD countries| Northern Europe| Council of Europe countries| NATO countries,,regions of Denmark| regions of Denmark| regions of Denmark| regions of Denmark| regions of Denmark| regions of Denmark,http://eurovoc.europa.eu/336,Denmark,Kingdom of Denmark| Kingdom of Denmark| Kingdom of Denmark| Kingdom of Denmark| Kingdom of Denmark| Kingdom of Denmark
