oBT,oNT,oRT,o,oPrefLabel,oAltLabels
Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata| Chordata,"Trachinoidei| Cypriniformes| Acanthuroidei| Notacanthiformes| Hexanchiformes| Gobioidei| Percoidei| Chimaeriformes| Ceratodontiformes| Clupeiformes| Lampriformes| Lepidosireniformes| Lophiiformes| Scorpaeniformes| Gasterosteiformes| Other perciformes| Saccopharyngiformes| Beryciformes| Synbranchiformes| Percopsiformes| Syngnathiformes| Polypteriformes| Characiformes| Torpediniformes| Stomiiformes| Lamniformes| Ophidiiformes| Coelacanthiformes| Pleuronectiformes| Myctophiformes| Osteoglossiformes| Stromateoidei, anabantoidei| Batrachoidiformes| Salmoniformes| Myxiniformes| Mugiliformes| Siluriformes| Atheriniformes| Beloniformes| Gymnotiformes| Gadiformes| Rajiformes| Albuliformes| Heterodontiformes| Aulopiformes| Orectolobiformes| Tetraodontiformes| Lepisosteiformes| Cyprinodontiformes| Zeiformes| Carcharhiniformes| Anguilliformes| Cetomimiformes| Petromyzontiformes| Pisces miscellanea| Gobiesociformes| Gonorynchiformes| Scombroidei| Acipenseriformes| Amiiformes| Esociformes| Squaliformes| Zoarcoidei| Elopiformes",fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes| fishes,http://aims.fao.org/aos/agrovoc/c_13411,Pisces,
subjects| subjects| activities| activities| subjects| subjects| activities| activities,land cover mapping| land use mapping| land cover mapping| land use mapping| land cover mapping| land use mapping| land cover mapping| land use mapping,,http://aims.fao.org/aos/agrovoc/c_1344,cartography,Mapping| Mapping| Mapping| Mapping| Map making| Map making| Map making| Map making
Optical properties,,,http://aims.fao.org/aos/agrovoc/c_13483,Polarization,
Mollusca| Mollusca| Mollusca| Mollusca| Mollusca| Mollusca| Mollusca| Mollusca| Mollusca| Mollusca| Mollusca| Mollusca,Acanthochitonidae| Mopaliidae| Ischnochitonidae| Hanleyidae| Chitonidae| Chaetopleuridae| Acanthochitonidae| Mopaliidae| Ischnochitonidae| Hanleyidae| Chitonidae| Chaetopleuridae,,http://aims.fao.org/aos/agrovoc/c_13497,Polyplacophora,Amphineura| Amphineura| Amphineura| Amphineura| Amphineura| Amphineura| Amphineura| Amphineura| Amphineura| Amphineura| Amphineura| Amphineura
chemicophysical properties,,,http://aims.fao.org/aos/agrovoc/c_13520,Porosity,
,Discontinuous processes| organizational change| biological processes| Nutrient transformation| Continuous processes| physiological processes| atmospheric deposition| evolution| bioconversion| inhibition| Assimilation| physicochemical processes| carbon sequestration| biochemical processes| genetic processes| Discontinuous processes| organizational change| biological processes| Nutrient transformation| Continuous processes| physiological processes| atmospheric deposition| evolution| bioconversion| inhibition| Assimilation| physicochemical processes| carbon sequestration| biochemical processes| genetic processes,,http://aims.fao.org/aos/agrovoc/c_13586,processes,
Mediterranean Sea,,,http://aims.fao.org/aos/agrovoc/c_136,Adriatic Sea,
Sorption,,,http://aims.fao.org/aos/agrovoc/c_137,Adsorption,
Europe| Europe,Baltic States| Scandinavia,,http://aims.fao.org/aos/agrovoc/c_1385366309787,Northern Europe,
Sarcodina,Amoebida,,http://aims.fao.org/aos/agrovoc/c_13906,Rhizopoda,
