Broaders Of THIST Concept;THIST Concept's PrefLabel;THIST Concept  URI;DBPEDIA Concept URI;DBPEDIA Concept's PrefLabel;Broaders Of  DBPEDIA Concept;"E =ExactMAtch ; C= CloseMatch ; B= broaderMatch ; N= NarrowMAtch   NA= in corrispondenza di una della righe dei mapping che secondo voi non sono da accettare;  (definizioni  relazioni di mapping sono rintracciabili su http://www.w3.org/TR/skos-reference/#mapping)"
Africa| East Africa;Eritrea;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ertra;http://dbpedia.org/resource/Category:Eritrea;Eritrea;Wikipedia categories named after countries| Wikipedia categories named after countries;E
Africa| East Africa;Ethiopia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/itiopya;http://dbpedia.org/resource/Category:Ethiopia;Ethiopia;Countries in Africa| Countries in Africa;E
Africa| East Africa;Ethiopia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/itiopya;http://dbpedia.org/resource/Category:Ethiopia;Ethiopia;Horn of Africa| Horn of Africa;E
Africa| East Africa;Ethiopia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/itiopya;http://dbpedia.org/resource/Category:Ethiopia;Ethiopia;Landlocked countries| Landlocked countries;E
Africa| East Africa;Ethiopia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/itiopya;http://dbpedia.org/resource/Category:Ethiopia;Ethiopia;Wikipedia categories named after countries| Wikipedia categories named after countries;E
Africa| East Africa;Kenya;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya;http://dbpedia.org/resource/Category:Kenya;Kenya;Bantu countries and territories| Bantu countries and territories;E
Africa| East Africa;Kenya;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya;http://dbpedia.org/resource/Category:Kenya;Kenya;Countries in Africa| Countries in Africa;E
Africa| East Africa;Kenya;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya;http://dbpedia.org/resource/Category:Kenya;Kenya;East African countries| East African countries;E
Africa| East Africa;Kenya;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya;http://dbpedia.org/resource/Category:Kenya;Kenya;English-speaking countries and territories| English-speaking countries and territories;E
Africa| East Africa;Kenya;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya;http://dbpedia.org/resource/Category:Kenya;Kenya;Southeast Africa| Southeast Africa;E
Africa| East Africa;Kenya;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya;http://dbpedia.org/resource/Category:Kenya;Kenya;Wikipedia categories named after countries| Wikipedia categories named after countries;E
Africa| East Africa;Malawi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/malawi;http://dbpedia.org/resource/Category:Malawi;Malawi;Bantu countries and territories| Bantu countries and territories;E
Africa| East Africa;Malawi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/malawi;http://dbpedia.org/resource/Category:Malawi;Malawi;Countries in Africa| Countries in Africa;E
Africa| East Africa;Malawi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/malawi;http://dbpedia.org/resource/Category:Malawi;Malawi;English-speaking countries and territories| English-speaking countries and territories;E
Africa| East Africa;Malawi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/malawi;http://dbpedia.org/resource/Category:Malawi;Malawi;Landlocked countries| Landlocked countries;E
Africa| East Africa;Malawi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/malawi;http://dbpedia.org/resource/Category:Malawi;Malawi;Southeast Africa| Southeast Africa;E
Africa| East Africa;Malawi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/malawi;http://dbpedia.org/resource/Category:Malawi;Malawi;Southern Africa| Southern Africa;E
Africa| East Africa;Malawi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/malawi;http://dbpedia.org/resource/Category:Malawi;Malawi;Wikipedia categories named after countries| Wikipedia categories named after countries;E
Africa| East Africa;Mozambique;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mocambique;http://dbpedia.org/resource/Category:Mozambique;Mozambique;Bantu countries and territories| Bantu countries and territories;E
Africa| East Africa;Mozambique;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mocambique;http://dbpedia.org/resource/Category:Mozambique;Mozambique;Countries in Africa| Countries in Africa;E
Africa| East Africa;Mozambique;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mocambique;http://dbpedia.org/resource/Category:Mozambique;Mozambique;East African countries| East African countries;E
Africa| East Africa;Mozambique;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mocambique;http://dbpedia.org/resource/Category:Mozambique;Mozambique;Member states of the Commonwealth of Nations| Member states of the Commonwealth of Nations;E
Africa| East Africa;Mozambique;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mocambique;http://dbpedia.org/resource/Category:Mozambique;Mozambique;Member states of the Community of Portuguese Language Countries| Member states of the Community of Portuguese Language Countries;E
Africa| East Africa;Mozambique;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mocambique;http://dbpedia.org/resource/Category:Mozambique;Mozambique;Southeast Africa| Southeast Africa;E
Africa| East Africa;Mozambique;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mocambique;http://dbpedia.org/resource/Category:Mozambique;Mozambique;Southern Africa| Southern Africa;E
Africa| East Africa;Mozambique;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mocambique;http://dbpedia.org/resource/Category:Mozambique;Mozambique;Wikipedia categories named after countries| Wikipedia categories named after countries;E
Africa| East Africa;Seychelles;http://linkeddata.ge.imati.cnr.it/resource/ThIST/seychelles;http://dbpedia.org/resource/Category:Seychelles;Seychelles;Archipelagoes of the Indian Ocean| Archipelagoes of the Indian Ocean;E
Africa| East Africa;Seychelles;http://linkeddata.ge.imati.cnr.it/resource/ThIST/seychelles;http://dbpedia.org/resource/Category:Seychelles;Seychelles;Countries in Africa| Countries in Africa;E
Africa| East Africa;Seychelles;http://linkeddata.ge.imati.cnr.it/resource/ThIST/seychelles;http://dbpedia.org/resource/Category:Seychelles;Seychelles;English-speaking countries and territories| English-speaking countries and territories;E
Africa| East Africa;Seychelles;http://linkeddata.ge.imati.cnr.it/resource/ThIST/seychelles;http://dbpedia.org/resource/Category:Seychelles;Seychelles;Island countries| Island countries;E
Africa| East Africa;Seychelles;http://linkeddata.ge.imati.cnr.it/resource/ThIST/seychelles;http://dbpedia.org/resource/Category:Seychelles;Seychelles;Islands of Africa| Islands of Africa;E
Africa| East Africa;Seychelles;http://linkeddata.ge.imati.cnr.it/resource/ThIST/seychelles;http://dbpedia.org/resource/Category:Seychelles;Seychelles;Islands of the Indian Ocean| Islands of the Indian Ocean;E
Africa| East Africa;Seychelles;http://linkeddata.ge.imati.cnr.it/resource/ThIST/seychelles;http://dbpedia.org/resource/Category:Seychelles;Seychelles;Member states of the Commonwealth of Nations| Member states of the Commonwealth of Nations;E
Africa| East Africa;Seychelles;http://linkeddata.ge.imati.cnr.it/resource/ThIST/seychelles;http://dbpedia.org/resource/Category:Seychelles;Seychelles;Wikipedia categories named after countries| Wikipedia categories named after countries;E
Africa| East Africa;Seychelles;http://linkeddata.ge.imati.cnr.it/resource/ThIST/seychelles;http://dbpedia.org/resource/Category:Seychelles;Seychelles;Wikipedia categories named after islands| Wikipedia categories named after islands;E
Africa| East Africa;Somalia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/soomaaliya;http://dbpedia.org/resource/Category:Somalia;Somalia;Arabic-speaking countries and territories| Arabic-speaking countries and territories;E
Africa| East Africa;Somalia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/soomaaliya;http://dbpedia.org/resource/Category:Somalia;Somalia;Countries in Africa| Countries in Africa;E
Africa| East Africa;Somalia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/soomaaliya;http://dbpedia.org/resource/Category:Somalia;Somalia;Horn of Africa| Horn of Africa;E
Africa| East Africa;Somalia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/soomaaliya;http://dbpedia.org/resource/Category:Somalia;Somalia;Member states of the Arab League| Member states of the Arab League;E
Africa| East Africa;Somalia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/soomaaliya;http://dbpedia.org/resource/Category:Somalia;Somalia;Wikipedia categories named after countries| Wikipedia categories named after countries;E
Africa| East Africa;Zambia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/zambia;http://dbpedia.org/resource/Category:Zambia;Zambia;Bantu countries and territories| Bantu countries and territories;E
Africa| East Africa;Zambia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/zambia;http://dbpedia.org/resource/Category:Zambia;Zambia;Countries in Africa| Countries in Africa;E
Africa| East Africa;Zambia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/zambia;http://dbpedia.org/resource/Category:Zambia;Zambia;English-speaking countries and territories| English-speaking countries and territories;E
Africa| East Africa;Zambia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/zambia;http://dbpedia.org/resource/Category:Zambia;Zambia;Landlocked countries| Landlocked countries;E
Africa| East Africa;Zambia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/zambia;http://dbpedia.org/resource/Category:Zambia;Zambia;Member states of the Commonwealth of Nations| Member states of the Commonwealth of Nations;E
Africa| East Africa;Zambia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/zambia;http://dbpedia.org/resource/Category:Zambia;Zambia;Southeast Africa| Southeast Africa;E
Africa| East Africa;Zambia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/zambia;http://dbpedia.org/resource/Category:Zambia;Zambia;Southern Africa| Southern Africa;E
Africa| East Africa;Zambia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/zambia;http://dbpedia.org/resource/Category:Zambia;Zambia;Wikipedia categories named after countries| Wikipedia categories named after countries;E
Africa| East Africa| Djibouti Djibouti| Djibouti;Djibouti;http://linkeddata.ge.imati.cnr.it/resource/ThIST/djibouti;http://dbpedia.org/resource/Category:Djibouti;Djibouti;Countries in Africa| Countries in Africa| Countries in Africa| Countries in Africa;E
Africa| East Africa| Djibouti Djibouti| Djibouti;Djibouti Djibouti;http://linkeddata.ge.imati.cnr.it/resource/ThIST/djibouti;http://dbpedia.org/resource/Category:Djibouti;Djibouti;Countries in Africa| Countries in Africa| Countries in Africa| Countries in Africa;E
Africa| East Africa| Djibouti Djibouti| Djibouti;Djibouti;http://linkeddata.ge.imati.cnr.it/resource/ThIST/djibouti;http://dbpedia.org/resource/Category:Djibouti;Djibouti;Horn of Africa| Horn of Africa| Horn of Africa| Horn of Africa;E
