;Unnamed: 0;s;o;KindOfLink;sBT;sNT;sRT;sPrefLabel;sAltLabels;oPrefLabel;oDefinition;oAltLabels;oBT;oNT;oRT;similaritySInW;wmdistance;Mwmdistance;SMwmdistance;nhammingSim;MnhammingSim;SMnhammingSim
857;857;http://linkeddata.ge.imati.cnr.it/resource/ThIST/pianta;http://dbpedia.org/resource/Category:Plants;E;;nannofossils| halophyte| Discoasteridae| Helicopontosphaera| charophytes| Nannoconus| Sphenolithus| Ethmodiscus| Braarudosphaeridae;biostratigraphy| flowers| roots| seeds| Plantae| thallus;plants;;Plants;;;Botany| Horticulture and gardening| Eukaryotes;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
858;858;http://linkeddata.ge.imati.cnr.it/resource/ThIST/pianura;http://dbpedia.org/resource/Category:Plains;E;;chenier plains;pediplains| tundra| alluvial plains| playas| shore features| floodplains| savannas| coastal plains| geomorphology| uplands| abyssal plains| prairies| landforms| steppes| erosion features| Po Plain| peneplains| topography| Planosols| outwash plains| fluvial features;plains;;Plains;;;Slope landforms;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
859;859;http://linkeddata.ge.imati.cnr.it/resource/ThIST/pioggia;http://dbpedia.org/resource/Category:Rain;E;;;atmospheric precipitation| rainfall| rain storm| drought| pluviometry| hydrology| rain wash| raindrops| runoff coefficient| acid rain;rain;;Rain;;;Precipitation;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
860;860;http://linkeddata.ge.imati.cnr.it/resource/ThIST/piuma;http://dbpedia.org/resource/Category:Feathers;E;;;biostratigraphy| Aves;feathers;;Feathers;;;Bird anatomy| Dinosaur anatomy;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
861;861;http://linkeddata.ge.imati.cnr.it/resource/ThIST/polder;http://dbpedia.org/resource/Category:Polders;E;;;coastal environment| land use| reclamation| shorelines| seawalls| dams;polders;;Polders;;;Artificial landforms| Coastal construction| Land reclamation;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
862;862;http://linkeddata.ge.imati.cnr.it/resource/ThIST/poliedro;http://dbpedia.org/resource/Category:Polyhedra;E;;tetrahedra;crystal structure;polyhedra;;Polyhedra;;;Convex geometry| Polytopes| Euclidean solid geometry| Linear programming;;Quasiregular polyhedra| Platonic solids| Archimedean solids| Images of polyhedra| Tessellation| Kepler–Poinsot polyhedra| Prismatoid polyhedra| Uniform polyhedra| Catalan solids| Johnson solids| Pyramids and bipyramids;0.0;0.0;0.0;0.0;0.0;0.0;0.0
863;863;http://linkeddata.ge.imati.cnr.it/resource/ThIST/polimero;http://dbpedia.org/resource/Category:Polymers;E;;;polymerization| organic materials| petroleum geology;polymers;;Polymers;;;Macromolecules| Chemical substances| Polymer chemistry;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
864;864;http://linkeddata.ge.imati.cnr.it/resource/ThIST/polimorfismo;http://dbpedia.org/resource/Category:Polymorphism;E;;;close packing| minerals| polytypism| crystal structure;polymorphism;;Polymorphism;;;Evolutionarily significant biological phenomena| Genetics| Population ecology| Evolutionary dynamics| Antipredator adaptations;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
865;865;http://linkeddata.ge.imati.cnr.it/resource/ThIST/politica;http://dbpedia.org/resource/Category:Policy;E;;;programs| NSF| strategic minerals| regulations| national policy| corporate policy| decision-making| international cooperation| wilderness areas| legislation| national parks| industrialized countries;policy;;Policy;;;Decision-making| Politics by issue| Government;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
866;866;http://linkeddata.ge.imati.cnr.it/resource/ThIST/prateria;http://dbpedia.org/resource/Category:Prairies;E;;;revegetation| plains| grasslands| steppes| ecology;prairies;;Prairies;;;Temperate grasslands, savannas, and shrublands| Grasslands of North America;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
