Broaders Of THIST Concept;THIST Concept's PrefLabel;THIST Concept  URI;AGROVOC Concept URI;Agrovoc Concept's PrefLabel;Broaders Of  Agrovoc Concept;"E =ExactMAtch ; C= CloseMatch ; B= broaderMatch ; N= NarrowMAtch   NA= in corrispondenza di una della righe dei mapping che secondo voi non sono da accettare;  (definizioni  relazioni di mapping sono rintracciabili su http://www.w3.org/TR/skos-reference/#mapping)";If E the 1;If C the 1;If N the 1;if Na 
Europe| Europa Island| Central Europe;Austria;http://linkeddata.ge.imati.cnr.it/resource/ThIST/osterreich;http://aims.fao.org/aos/agrovoc/c_718;Austria;Western Europe| Western Europe| Western Europe;E;1;0;0;0
Europe| Europa Island| Central Europe;Poland;http://linkeddata.ge.imati.cnr.it/resource/ThIST/polonia;http://aims.fao.org/aos/agrovoc/c_6055;Poland;Eastern Europe| Eastern Europe| Eastern Europe;E;1;0;0;0
Europe| Europa Island| Central Europe;Switzerland;http://linkeddata.ge.imati.cnr.it/resource/ThIST/svizzera;http://aims.fao.org/aos/agrovoc/c_7558;Switzerland;Western Europe| Western Europe| Western Europe;E;1;0;0;0
Europe| Europa Island| Central Europe| Austria;Carinthia Austria;http://linkeddata.ge.imati.cnr.it/resource/ThIST/carinzia;http://aims.fao.org/aos/agrovoc/c_1326;Carinthia;Austria| Austria| Austria| Austria;E;1;0;0;0
Europe| Europa Island| Central Europe| Austria;Vienna Austria;http://linkeddata.ge.imati.cnr.it/resource/ThIST/wien;http://aims.fao.org/aos/agrovoc/c_8226;Vienna;Austria| Austria| Austria| Austria;E;1;0;0;0
Europe| Europa Island| Central Europe| Germany;Lower Saxony Germany;http://linkeddata.ge.imati.cnr.it/resource/ThIST/bassasassonia;http://aims.fao.org/aos/agrovoc/c_4452;Lower Saxony;Old Laender| Old Laender| Old Laender| Old Laender;E;1;0;0;0
Europe| Europa Island| Central Europe| Germany;Bavaria Germany;http://linkeddata.ge.imati.cnr.it/resource/ThIST/baviera;http://aims.fao.org/aos/agrovoc/c_848;Bavaria;Old Laender| Old Laender| Old Laender| Old Laender;E;1;0;0;0
Europe| Europa Island| Central Europe| Germany;Brandenburg Germany;http://linkeddata.ge.imati.cnr.it/resource/ThIST/brandeburgo;http://aims.fao.org/aos/agrovoc/c_33192;Brandenburg;New Laender| New Laender| New Laender| New Laender;E;1;0;0;0
Europe| Europa Island| Central Europe| Germany;Rhineland-Palatinate Germany;http://linkeddata.ge.imati.cnr.it/resource/ThIST/renania-palatinato;http://aims.fao.org/aos/agrovoc/c_6556;Rhineland-Palatinate;Old Laender| Old Laender| Old Laender| Old Laender;E;1;0;0;0
Europe| Europa Island| Central Europe| Germany;Saarland Germany;http://linkeddata.ge.imati.cnr.it/resource/ThIST/saarland;http://aims.fao.org/aos/agrovoc/c_6719;Saarland;Old Laender| Old Laender| Old Laender| Old Laender;E;1;0;0;0
Europe| Europa Island| Central Europe| Germany;Saxony Germany;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sassonia;http://aims.fao.org/aos/agrovoc/c_33194;Saxony;New Laender| New Laender| New Laender| New Laender;E;1;0;0;0
Europe| Europa Island| Central Europe| Germany;Schleswig-Holstein Germany;http://linkeddata.ge.imati.cnr.it/resource/ThIST/schleswig-holstein;http://aims.fao.org/aos/agrovoc/c_6851;Schleswig-Holstein;Old Laender| Old Laender| Old Laender| Old Laender;E;1;0;0;0
Europe| Europa Island| Norway;Svalbard;http://linkeddata.ge.imati.cnr.it/resource/ThIST/svalbard;http://aims.fao.org/aos/agrovoc/c_7540;Svalbard;Norway| Norway| Norway;E;1;0;0;0
Europe| Europa Island| Scandinavia;Denmark;http://linkeddata.ge.imati.cnr.it/resource/ThIST/danmark;http://aims.fao.org/aos/agrovoc/c_2185;Denmark;Scandinavia| Scandinavia| Scandinavia;E;1;0;0;0
Europe| Europa Island| Southern Europe;Bulgaria;http://linkeddata.ge.imati.cnr.it/resource/ThIST/balgarija;http://aims.fao.org/aos/agrovoc/c_1145;Bulgaria;Balkans| Balkans| Balkans;E;1;0;0;0
Europe| Europa Island| Southern Europe;Bulgaria;http://linkeddata.ge.imati.cnr.it/resource/ThIST/balgarija;http://aims.fao.org/aos/agrovoc/c_1145;Bulgaria;Eastern Europe| Eastern Europe| Eastern Europe;E;1;0;0;0
Europe| Europa Island| Southern Europe;Greece;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ell%C3%9Fs;http://aims.fao.org/aos/agrovoc/c_3373;Greece;Balkans| Balkans| Balkans;E;1;0;0;0
Europe| Europa Island| Southern Europe;Greece;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ell%C3%9Fs;http://aims.fao.org/aos/agrovoc/c_3373;Greece;Southern Europe| Southern Europe| Southern Europe;E;1;0;0;0
Europe| Europa Island| Southern Europe;Greece;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ell%C3%9Fs;http://aims.fao.org/aos/agrovoc/c_3373;Greece;Western Europe| Western Europe| Western Europe;E;1;0;0;0
Europe| Europa Island| Southern Europe;Gibraltar;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gibilterra;http://aims.fao.org/aos/agrovoc/c_3257;Gibraltar;Southern Europe| Southern Europe| Southern Europe;E;1;0;0;0
Europe| Europa Island| Southern Europe;Croatia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/hrvatska;http://aims.fao.org/aos/agrovoc/c_33969;Croatia;Balkans| Balkans| Balkans;E;1;0;0;0
Europe| Europa Island| Southern Europe;Yugoslavia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/jugoslavia1929-1991;http://aims.fao.org/aos/agrovoc/c_8494;Yugoslavia;Balkans| Balkans| Balkans;E;1;0;0;0
Europe| Europa Island| Southern Europe;Yugoslavia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/jugoslavia1929-1991;http://aims.fao.org/aos/agrovoc/c_8494;Yugoslavia;Southern Europe| Southern Europe| Southern Europe;E;1;0;0;0
Europe| Europa Island| Southern Europe;Yugoslavia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/jugoslavia1929-1991;http://aims.fao.org/aos/agrovoc/c_8494;Yugoslavia;Western Europe| Western Europe| Western Europe;E;1;0;0;0
Europe| Europa Island| Southern Europe;Portugal;http://linkeddata.ge.imati.cnr.it/resource/ThIST/portugal;http://aims.fao.org/aos/agrovoc/c_6124;Portugal;Southern Europe| Southern Europe| Southern Europe;E;1;0;0;0
Europe| Europa Island| Southern Europe;Romania;http://linkeddata.ge.imati.cnr.it/resource/ThIST/romania;http://aims.fao.org/aos/agrovoc/c_6637;Romania;Balkans| Balkans| Balkans;E;1;0;0;0
Europe| Europa Island| Southern Europe;Romania;http://linkeddata.ge.imati.cnr.it/resource/ThIST/romania;http://aims.fao.org/aos/agrovoc/c_6637;Romania;Eastern Europe| Eastern Europe| Eastern Europe;E;1;0;0;0
Europe| Europa Island| Southern Europe;Slovenia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/slovenija1991-;http://aims.fao.org/aos/agrovoc/c_34123;Slovenia;Balkans| Balkans| Balkans;E;1;0;0;0
Europe| Europa Island| Southern Europe;Serbia and Montenegro;http://linkeddata.ge.imati.cnr.it/resource/ThIST/srbija-crnagora;http://aims.fao.org/aos/agrovoc/c_37896;Serbia and Montenegro;Balkans| Balkans| Balkans;E;1;0;0;0
Europe| Europa Island| Southern Europe;Serbia and Montenegro;http://linkeddata.ge.imati.cnr.it/resource/ThIST/srbija-crnagora;http://aims.fao.org/aos/agrovoc/c_37896;Serbia and Montenegro;Southern Europe| Southern Europe| Southern Europe;E;1;0;0;0
Europe| Europa Island| Southern Europe;Valle d'Aosta Italy;http://linkeddata.ge.imati.cnr.it/resource/ThIST/valledaosta;http://aims.fao.org/aos/agrovoc/c_8148;Valle d'Aosta;Italy| Italy| Italy;E;1;0;0;0
Europe| Europa Island| Southern Europe;Serbia and Montenegro;http://linkeddata.ge.imati.cnr.it/resource/ThIST/srbija-crnagora;http://aims.fao.org/aos/agrovoc/c_49907;Montenegro;Balkans| Balkans| Balkans;N;0;0;1;0
Europe| Europa Island| Southern Europe;Serbia and Montenegro;http://linkeddata.ge.imati.cnr.it/resource/ThIST/srbija-crnagora;http://aims.fao.org/aos/agrovoc/c_49907;Montenegro;Southern Europe| Southern Europe| Southern Europe;N;0;0;1;0
Europe| Europa Island| Southern Europe;Serbia and Montenegro;http://linkeddata.ge.imati.cnr.it/resource/ThIST/srbija-crnagora;http://aims.fao.org/aos/agrovoc/c_49909;Serbia;Balkans| Balkans| Balkans;N;0;0;1;0
Europe| Europa Island| Southern Europe;Serbia and Montenegro;http://linkeddata.ge.imati.cnr.it/resource/ThIST/srbija-crnagora;http://aims.fao.org/aos/agrovoc/c_49909;Serbia;Southern Europe| Southern Europe| Southern Europe;N;0;0;1;0
Europe| Europa Island| Southern Europe| San Marino San Marino| San Marino;San Marino;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sanmarino;http://aims.fao.org/aos/agrovoc/c_6778;San Marino;Southern Europe| Southern Europe| Southern Europe| Southern Europe| Southern Europe;E;1;0;0;0
Europe| Europa Island| Southern Europe| San Marino San Marino| San Marino;San Marino San Marino;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sanmarino;http://aims.fao.org/aos/agrovoc/c_6778;San Marino;Southern Europe| Southern Europe| Southern Europe| Southern Europe| Southern Europe;E;1;0;0;0
Europe| Europa Island| Southern Europe| Sassari Italy;Spain;http://linkeddata.ge.imati.cnr.it/resource/ThIST/espana;http://aims.fao.org/aos/agrovoc/c_7273;Spain;Southern Europe| Southern Europe| Southern Europe| Southern Europe;E;1;0;0;0
Europe| Europa Island| Switzerland;Lake Geneva;http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagodiginevra;http://aims.fao.org/aos/agrovoc/c_29706;Lake Geneva;European inland waters| European inland waters| European inland waters;E;1;0;0;0
Europe| Europa Island| Switzerland;Lake Geneva;http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagodiginevra;http://aims.fao.org/aos/agrovoc/c_29706;Lake Geneva;Lakes| Lakes| Lakes;E;1;0;0;0
Europe| Europa Island| Western Europe;Andorra;http://linkeddata.ge.imati.cnr.it/resource/ThIST/andorra;http://aims.fao.org/aos/agrovoc/c_403;Andorra;Southern Europe| Southern Europe| Southern Europe;E;1;0;0;0
Europe| Europa Island| Western Europe;Ireland;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ireland;http://aims.fao.org/aos/agrovoc/c_3948;Ireland;British Isles| British Isles| British Isles;E;1;0;0;0
Europe| Europa Island| Western Europe;Monaco;http://linkeddata.ge.imati.cnr.it/resource/ThIST/monaco;http://aims.fao.org/aos/agrovoc/c_4904;Monaco;Western Europe| Western Europe| Western Europe;E;1;0;0;0
Europe| Europa Island| Western Europe;Netherlands;http://linkeddata.ge.imati.cnr.it/resource/ThIST/nederland;http://aims.fao.org/aos/agrovoc/c_5142;Netherlands;Western Europe| Western Europe| Western Europe;E;1;0;0;0
Europe| Europa Island| Western Europe;Pyrenees;http://linkeddata.ge.imati.cnr.it/resource/ThIST/pirenei;http://aims.fao.org/aos/agrovoc/c_1336052905435;Pyrenees;mountain ranges| mountain ranges| mountain ranges;E;1;0;0;0
Europe| Europa Island| Western Europe;Scandinavia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/scandinavia;http://aims.fao.org/aos/agrovoc/c_6840;Scandinavia;Northern Europe| Northern Europe| Northern Europe;E;1;0;0;0
Europe| Europa Island| Western Europe;United Kingdom;http://linkeddata.ge.imati.cnr.it/resource/ThIST/unitedkingdom;http://aims.fao.org/aos/agrovoc/c_3371;Great Britain;United Kingdom| United Kingdom| United Kingdom;E;1;0;0;0
Europe| Europa Island| Western Europe;United Kingdom;http://linkeddata.ge.imati.cnr.it/resource/ThIST/unitedkingdom;http://aims.fao.org/aos/agrovoc/c_8068;United Kingdom;British Isles| British Isles| British Isles;E;1;0;0;0
Europe| Europa Island| Western Europe| France;Alsace;http://linkeddata.ge.imati.cnr.it/resource/ThIST/alsazia;http://aims.fao.org/aos/agrovoc/c_311;Alsace;France| France| France| France;E;1;0;0;0
Europe| Europa Island| Western Europe| France;Auvergne;http://linkeddata.ge.imati.cnr.it/resource/ThIST/alvernia;http://aims.fao.org/aos/agrovoc/c_725;Auvergne;France| France| France| France;E;1;0;0;0
Europe| Europa Island| Western Europe| France;Aquitaine;http://linkeddata.ge.imati.cnr.it/resource/ThIST/aquitania;http://aims.fao.org/aos/agrovoc/c_563;Aquitaine;France| France| France| France;E;1;0;0;0
Europe| Europa Island| Western Europe| France;Burgundy;http://linkeddata.ge.imati.cnr.it/resource/ThIST/borgogna;http://aims.fao.org/aos/agrovoc/c_1153;Burgundy;France| France| France| France;E;1;0;0;0
Europe| Europa Island| Western Europe| France;Brittany;http://linkeddata.ge.imati.cnr.it/resource/ThIST/bretagna;http://aims.fao.org/aos/agrovoc/c_1098;Brittany;France| France| France| France;E;1;0;0;0
Europe| Europa Island| Western Europe| France;Corsica;http://linkeddata.ge.imati.cnr.it/resource/ThIST/corsica;http://aims.fao.org/aos/agrovoc/c_1907;Corsica;France| France| France| France;E;1;0;0;0
Europe| Europa Island| Western Europe| Luxembourg Luxembourg| Luxembourg;Luxembourg;http://linkeddata.ge.imati.cnr.it/resource/ThIST/luxembourg;http://aims.fao.org/aos/agrovoc/c_4471;Luxembourg;Western Europe| Western Europe| Western Europe| Western Europe| Western Europe;E;1;0;0;0
Europe| Europa Island| Western Europe| Luxembourg Luxembourg| Luxembourg;Luxembourg Luxembourg;http://linkeddata.ge.imati.cnr.it/resource/ThIST/luxembourg;http://aims.fao.org/aos/agrovoc/c_4471;Luxembourg;Western Europe| Western Europe| Western Europe| Western Europe| Western Europe;E;1;0;0;0
Europe| Europa Island| Western Europe| Scandinavia;Iceland;http://linkeddata.ge.imati.cnr.it/resource/ThIST/island;http://aims.fao.org/aos/agrovoc/c_3785;Iceland;Scandinavia| Scandinavia| Scandinavia| Scandinavia;E;1;0;0;0
Europe| Europa Island| Western Europe| Scandinavia;Norway;http://linkeddata.ge.imati.cnr.it/resource/ThIST/norge;http://aims.fao.org/aos/agrovoc/c_5234;Norway;Scandinavia| Scandinavia| Scandinavia| Scandinavia;E;1;0;0;0
Europe| Europa Island| Western Europe| Scandinavia;Finland;http://linkeddata.ge.imati.cnr.it/resource/ThIST/suomi;http://aims.fao.org/aos/agrovoc/c_2905;Finland;Scandinavia| Scandinavia| Scandinavia| Scandinavia;E;1;0;0;0
Europe| Europa Island| Western Europe| Scandinavia;Sweden;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sverige;http://aims.fao.org/aos/agrovoc/c_7549;Sweden;Scandinavia| Scandinavia| Scandinavia| Scandinavia;E;1;0;0;0
Europe| Europa Island| Western Europe| United Kingdom;Wales;http://linkeddata.ge.imati.cnr.it/resource/ThIST/galles;http://aims.fao.org/aos/agrovoc/c_8294;Wales;Great Britain| Great Britain| Great Britain| Great Britain;E;1;0;0;0
Europe| Europa Island| Western Europe| United Kingdom;England;http://linkeddata.ge.imati.cnr.it/resource/ThIST/inghilterra;http://aims.fao.org/aos/agrovoc/c_2574;England;Great Britain| Great Britain| Great Britain| Great Britain;E;1;0;0;0
Europe| Europa Island| Western Europe| United Kingdom;Northern Ireland;http://linkeddata.ge.imati.cnr.it/resource/ThIST/northernireland;http://aims.fao.org/aos/agrovoc/c_5229;Northern Ireland;United Kingdom| United Kingdom| United Kingdom| United Kingdom;E;1;0;0;0
factor analysis| analysis| mathematical models| statistical analysis| mathematical geology;multivariate analysis;http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisimultivariata;http://aims.fao.org/aos/agrovoc/c_28921;Multivariate analysis;Statistical methods| Statistical methods| Statistical methods| Statistical methods| Statistical methods;E;1;0;0;0
fluvial features;waterfalls;http://linkeddata.ge.imati.cnr.it/resource/ThIST/cascata;http://aims.fao.org/aos/agrovoc/c_8330;Waterfalls;Surface water;E;1;0;0;0
fluvial features;waterfalls;http://linkeddata.ge.imati.cnr.it/resource/ThIST/cascata;http://aims.fao.org/aos/agrovoc/c_8330;Waterfalls;physiographic features;E;1;0;0;0
fluvial features;floodplains;http://linkeddata.ge.imati.cnr.it/resource/ThIST/pianadiesondazione;http://aims.fao.org/aos/agrovoc/c_2977;Floodplains;Plains;E;1;0;0;0
fluvial features;wadis;http://linkeddata.ge.imati.cnr.it/resource/ThIST/uadi;http://aims.fao.org/aos/agrovoc/c_24124;Wadi;Surface water;E;1;0;0;0
fluvial features;wadis;http://linkeddata.ge.imati.cnr.it/resource/ThIST/uadi;http://aims.fao.org/aos/agrovoc/c_24124;Wadi;physiographic features;E;1;0;0;0
fluvial features| Trieste Italy;Rijeka Croatia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiume;http://aims.fao.org/aos/agrovoc/c_6617;Rivers;Inland waters| Inland waters;C;0;1;0;0
fluvial features| Trieste Italy;Rijeka Croatia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiume;http://aims.fao.org/aos/agrovoc/c_6617;Rivers;Surface water| Surface water;C;0;1;0;0
fluvial features| Trieste Italy;rivers;http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiume;http://aims.fao.org/aos/agrovoc/c_6617;Rivers;Inland waters| Inland waters;E;1;0;0;0
fluvial features| Trieste Italy;rivers;http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiume;http://aims.fao.org/aos/agrovoc/c_6617;Rivers;Surface water| Surface water;E;1;0;0;0
France;Moselle River;http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiumemosella;http://aims.fao.org/aos/agrovoc/c_29736;Mosel River;European inland waters;E;1;0;0;0
France;Moselle River;http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiumemosella;http://aims.fao.org/aos/agrovoc/c_29736;Mosel River;Rivers;E;1;0;0;0
France;Lorraine;http://linkeddata.ge.imati.cnr.it/resource/ThIST/lorena;http://aims.fao.org/aos/agrovoc/c_4437;Lorraine;France;E;1;0;0;0
Free Padania;Devolution;http://linkeddata.ge.imati.cnr.it/resource/ThIST/devoluzione;http://aims.fao.org/aos/agrovoc/c_9000032;Devolution;administration;E;1;0;0;0
Free Padania;Devolution;http://linkeddata.ge.imati.cnr.it/resource/ThIST/devoluzione;http://aims.fao.org/aos/agrovoc/c_9000032;Devolution;socioeconomic organization;E;1;0;0;0
Free Padania;;http://linkeddata.ge.imati.cnr.it/resource/ThIST/federalismo;http://aims.fao.org/aos/agrovoc/c_28879;federalism;political systems;E;1;0;0;0
geology;marine geology;http://linkeddata.ge.imati.cnr.it/resource/ThIST/geologiamarina;http://aims.fao.org/aos/agrovoc/c_4612;Marine geology;Geology;E;1;0;0;0
geomagnetism;magnetic field;http://linkeddata.ge.imati.cnr.it/resource/ThIST/campomagnetico;http://aims.fao.org/aos/agrovoc/c_33982;Magnetic field;physical phenomena;E;1;0;0;0
geophysics;earthquakes;http://linkeddata.ge.imati.cnr.it/resource/ThIST/terremoto;http://aims.fao.org/aos/agrovoc/c_2440;Earthquakes;Natural disasters;E;1;0;0;0
geotechnics| sediments| clastic sediments;clay;http://linkeddata.ge.imati.cnr.it/resource/ThIST/argilla;http://aims.fao.org/aos/agrovoc/c_15619;Clay;rock| rock| rock;E;1;0;0;0
Ghana;Lake Volta;http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagovolta;http://aims.fao.org/aos/agrovoc/c_92371;Lake Volta;African inland waters;E;1;0;0;0
Ghana;Lake Volta;http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagovolta;http://aims.fao.org/aos/agrovoc/c_92371;Lake Volta;Lakes;E;1;0;0;0
Gymnospermae;Welwitschiales;http://linkeddata.ge.imati.cnr.it/resource/ThIST/welwitschiales;http://aims.fao.org/aos/agrovoc/c_330331;Welwitschiales;Gnetopsida;E;1;0;0;0
halides;bromides;http://linkeddata.ge.imati.cnr.it/resource/ThIST/bromuri;http://aims.fao.org/aos/agrovoc/c_1105;Bromides;Inorganic acid salts;E;1;0;0;0
halides;chlorides;http://linkeddata.ge.imati.cnr.it/resource/ThIST/cloruri;http://aims.fao.org/aos/agrovoc/c_1567;Chlorides;Inorganic acid salts;E;1;0;0;0
halides;fluorides;http://linkeddata.ge.imati.cnr.it/resource/ThIST/fluoruri;http://aims.fao.org/aos/agrovoc/c_2995;Fluorides;Inorganic acid salts;E;1;0;0;0
halides;iodides;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ioduri;http://aims.fao.org/aos/agrovoc/c_3931;Iodides;Inorganic acid salts;E;1;0;0;0
halogens;bromine;http://linkeddata.ge.imati.cnr.it/resource/ThIST/bromo;http://aims.fao.org/aos/agrovoc/c_1106;Bromine;Halogens;E;1;0;0;0
halogens;chlorine;http://linkeddata.ge.imati.cnr.it/resource/ThIST/cloro;http://aims.fao.org/aos/agrovoc/c_1568;Chlorine;Halogens;E;1;0;0;0
halogens;fluorine;http://linkeddata.ge.imati.cnr.it/resource/ThIST/fluoro;http://aims.fao.org/aos/agrovoc/c_2996;Fluorine;Halogens;E;1;0;0;0
halogens;iodine;http://linkeddata.ge.imati.cnr.it/resource/ThIST/iodio;http://aims.fao.org/aos/agrovoc/c_3932;Iodine;Halogens;E;1;0;0;0
hydrogen| isotopes| radioactive isotopes;tritium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/trizio;http://aims.fao.org/aos/agrovoc/c_24912;Tritium;Hydrogen| Hydrogen| Hydrogen;E;1;0;0;0
hydrogen| isotopes| stable isotopes;deuterium;http://linkeddata.ge.imati.cnr.it/resource/ThIST/deuterio;http://aims.fao.org/aos/agrovoc/c_33476;Deuterium;Hydrogen| Hydrogen| Hydrogen;E;1;0;0;0
igneous rocks| plutonic rocks;granites;http://linkeddata.ge.imati.cnr.it/resource/ThIST/granito;http://aims.fao.org/aos/agrovoc/c_32468;Granite;rock| rock;E;1;0;0;0
igneous rocks| volcanic rocks;basalts;http://linkeddata.ge.imati.cnr.it/resource/ThIST/basalto;http://aims.fao.org/aos/agrovoc/c_32387;Basalt;rock| rock;E;1;0;0;0
igneous rocks| volcanic rocks;glasses;http://linkeddata.ge.imati.cnr.it/resource/ThIST/vetro;http://aims.fao.org/aos/agrovoc/c_3272;glass;materials| materials;E;1;0;0;0
igneous rocks| volcanic rocks| glasses;perlite;http://linkeddata.ge.imati.cnr.it/resource/ThIST/perlite;http://aims.fao.org/aos/agrovoc/c_24125;Perlite;minerals| minerals| minerals;E;1;0;0;0
in situ;penetrometers;http://linkeddata.ge.imati.cnr.it/resource/ThIST/penetrometro;http://aims.fao.org/aos/agrovoc/c_25787;Penetrometers;Measuring instruments;E;1;0;0;0
India;Himachal Pradesh India;http://linkeddata.ge.imati.cnr.it/resource/ThIST/himachalpradesh;http://aims.fao.org/aos/agrovoc/c_3618;Himachal Pradesh;India;E;1;0;0;0
India;Indian Ocean;http://linkeddata.ge.imati.cnr.it/resource/ThIST/oceanoindiano;http://aims.fao.org/aos/agrovoc/c_3828;Indian Ocean;Marine areas;E;1;0;0;0
Indian Ocean;Persian Gulf;http://linkeddata.ge.imati.cnr.it/resource/ThIST/golfopersico;http://aims.fao.org/aos/agrovoc/c_5724;Persian Gulf;Western Indian Ocean;E;1;0;0;0
Indian Ocean;Persian Gulf;http://linkeddata.ge.imati.cnr.it/resource/ThIST/golfopersico;http://aims.fao.org/aos/agrovoc/c_5724;Persian Gulf;gulfs;E;1;0;0;0
Indian Ocean;West Indian Ocean;http://linkeddata.ge.imati.cnr.it/resource/ThIST/oceanoindianooccidentale;http://aims.fao.org/aos/agrovoc/c_8365;Western Indian Ocean;Indian Ocean;E;1;0;0;0
Indonesia;Sumatra Indonesia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sumatra;http://aims.fao.org/aos/agrovoc/c_7518;Sumatra;Indonesia;E;1;0;0;0
intrusions;pipes;http://linkeddata.ge.imati.cnr.it/resource/ThIST/pipe;http://aims.fao.org/aos/agrovoc/c_5925;Pipes;Equipment;E;1;0;0;0
intrusions;stocks;http://linkeddata.ge.imati.cnr.it/resource/ThIST/stock;http://aims.fao.org/aos/agrovoc/c_28772;Stocks;supply balance;E;1;0;0;0
Invertebrata;Arthropoda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/arthropoda;http://aims.fao.org/aos/agrovoc/c_635;Arthropoda;Animalia;E;1;0;0;0
Invertebrata;Brachiopoda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/brachiopoda;http://aims.fao.org/aos/agrovoc/c_1046;Brachiopoda;Animalia;E;1;0;0;0
Invertebrata;Bryozoa;http://linkeddata.ge.imati.cnr.it/resource/ThIST/bryozoa;http://aims.fao.org/aos/agrovoc/c_6098;Bryozoa;Animalia;E;1;0;0;0
Invertebrata;Echinodermata;http://linkeddata.ge.imati.cnr.it/resource/ThIST/echinodermata;http://aims.fao.org/aos/agrovoc/c_2459;Echinodermata;Animalia;E;1;0;0;0
Invertebrata;Mollusca;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mollusca;http://aims.fao.org/aos/agrovoc/c_4898;Mollusca;Animalia;E;1;0;0;0
Invertebrata| Anthozoa| Coelenterata| Zoantharia;Actiniaria;http://linkeddata.ge.imati.cnr.it/resource/ThIST/actiniaria;http://aims.fao.org/aos/agrovoc/c_49314;Actiniaria;Anthozoa| Anthozoa| Anthozoa| Anthozoa;E;1;0;0;0
Invertebrata| Anthozoa| Coelenterata| Zoantharia;Scleractinia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/scleractinia;http://aims.fao.org/aos/agrovoc/c_49310;Scleractinia;Anthozoa| Anthozoa| Anthozoa| Anthozoa;E;1;0;0;0
Invertebrata| Arthropoda;Chelicerata;http://linkeddata.ge.imati.cnr.it/resource/ThIST/chelicerata;http://aims.fao.org/aos/agrovoc/c_331238;Chelicerata;Arthropoda| Arthropoda;E;1;0;0;0
Invertebrata| Arthropoda| Chelicerata;Arachnida;http://linkeddata.ge.imati.cnr.it/resource/ThIST/arachnida;http://aims.fao.org/aos/agrovoc/c_573;Arachnida;Chelicerata| Chelicerata| Chelicerata;E;1;0;0;0
Invertebrata| Arthropoda| Chelicerata;Merostomata;http://linkeddata.ge.imati.cnr.it/resource/ThIST/merostomata;http://aims.fao.org/aos/agrovoc/c_12507;Merostomata;Chelicerata| Chelicerata| Chelicerata;E;1;0;0;0
Invertebrata| Arthropoda| Chelicerata| Merostomata;Xiphosura;http://linkeddata.ge.imati.cnr.it/resource/ThIST/xiphosura;http://aims.fao.org/aos/agrovoc/c_8468;Xiphosura;Arthropoda| Arthropoda| Arthropoda| Arthropoda;E;1;0;0;0
Invertebrata| Arthropoda| Coleopteroida| Insecta| Mandibulata;Coleoptera;http://linkeddata.ge.imati.cnr.it/resource/ThIST/coleoptera;http://aims.fao.org/aos/agrovoc/c_1747;Coleoptera;Insecta| Insecta| Insecta| Insecta| Insecta;E;1;0;0;0
Invertebrata| Arthropoda| Crustacea| Malacostraca| Mandibulata;Brachyura;http://linkeddata.ge.imati.cnr.it/resource/ThIST/brachyura;http://aims.fao.org/aos/agrovoc/c_47038;Brachyura;Crustacea| Crustacea| Crustacea| Crustacea| Crustacea;E;1;0;0;0
Invertebrata| Arthropoda| Crustacea| Mandibulata;Cirripedia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/cirripedia;http://aims.fao.org/aos/agrovoc/c_1628;Cirripedia;Crustacea| Crustacea| Crustacea| Crustacea;E;1;0;0;0
Invertebrata| Arthropoda| Crustacea| Mandibulata;Copepoda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/copepoda;http://aims.fao.org/aos/agrovoc/c_1865;Copepoda;Crustacea| Crustacea| Crustacea| Crustacea;E;1;0;0;0
