;s;o;KindOfLinkRevised;KindOfLink;sBT;sNT;sRT;sPrefLabel;sAltLabels;oPrefLabel;oAltLabels;oBT;oNT;oRT;RT_similaritySInW;RT_wmdistance;RT_Mwmdistance;RT_SMwmdistance;RT_nhammingSim;RT_MnhammingSim;RT_SMnhammingSim;BT_similaritySInW;BT_wmdistance;BT_Mwmdistance;BT_SMwmdistance;BT_nhammingSim;BT_MnhammingSim;BT_SMnhammingSim;PrefLabel_similaritySInW;PrefLabel_wmdistance;PrefLabel_Mwmdistance;PrefLabel_SMwmdistance;PrefLabel_nhammingSim;PrefLabel_MnhammingSim;PrefLabel_SMnhammingSim
614;http://linkeddata.ge.imati.cnr.it/resource/ThIST/industriamineraria;http://eurovoc.europa.eu/1411;E;E;;;;;;mining industry;;;;mineral resources| exhaustion of resources;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
615;http://linkeddata.ge.imati.cnr.it/resource/ThIST/inondazione;http://eurovoc.europa.eu/1440;E;E;;;;;;flood;;natural disaster;;watercourse| natural hazard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
616;http://linkeddata.ge.imati.cnr.it/resource/ThIST/inquinamentoorganico;http://eurovoc.europa.eu/2537;E;E;;;;;;organic pollution;;pollution;;organic chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
617;http://linkeddata.ge.imati.cnr.it/resource/ThIST/inquinamentotermico;http://eurovoc.europa.eu/2541;E;E;;;waste disposal| thermal prospecting| pollution;thermal pollution;;thermal pollution;;pollution;;thermal discharge;2.5434995868;1.2013560522;2.4306079329;10.760612351;0;1;1.4444444444;0;0;0;0;0;0;0;2.2279069246;0;1.9922815328;3.9845630656;1;1;2
618;http://linkeddata.ge.imati.cnr.it/resource/ThIST/insegnamento;http://eurovoc.europa.eu/668;C;E;;;programs| theses| stratigraphy| creationism| petrology| college-level education| libraries| popular geology| materials| oceanography| historical geology| academic institutions| geology| textbooks| elementary geology| associations| curricula| Earth sciences| catalogs| museums| glossaries| high school| graduate-level education;education;;education;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
619;http://linkeddata.ge.imati.cnr.it/resource/ThIST/insegnamento;http://eurovoc.europa.eu/778;C;E;;;programs| theses| stratigraphy| creationism| petrology| college-level education| libraries| popular geology| materials| oceanography| historical geology| academic institutions| geology| textbooks| elementary geology| associations| curricula| Earth sciences| catalogs| museums| glossaries| high school| graduate-level education;education;;teaching;tuition;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
620;http://linkeddata.ge.imati.cnr.it/resource/ThIST/insegnamentosuperiore;http://eurovoc.europa.eu/800;E;E;;;education;graduate-level education;;higher education;tertiary education| grande école| institute of technology;level of education;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.223265228;0.9178215196;1.9526460966;3.7596720704;0.0416666667;1;1
621;http://linkeddata.ge.imati.cnr.it/resource/ThIST/intelligenzaartificiale;http://eurovoc.europa.eu/3030;E;E;;;data processing| expert systems;artificial intelligence;;artificial intelligence;expert system;information processing;;robotics| cybernetics;0.5984353283;1.1541887048;2.6993654676;8.3711756034;0;0.1818181818;0.2727272727;0;0;0;0;0;0;0;2.0064100272;0;1.5506720313;3.1013440626;1;1;2
622;http://linkeddata.ge.imati.cnr.it/resource/ThIST/interferenza;http://eurovoc.europa.eu/1436;E;E;;;interference patterns| geophysical methods| geochemistry| waves| optical properties;interference;;interference;duty to interfere| right to interfere;international conflict;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
623;http://linkeddata.ge.imati.cnr.it/resource/ThIST/internet;http://eurovoc.europa.eu/6088;E;E;;;;;;Internet;web;telecommunications;;start-up| information highway| information transfer| hypermedia| electronic commerce| electronic government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
