,s,o,KindOfLink,oBT,oNT,oRT,oPrefLabel,oAltLabels,sBT,sNT,sRT,sPrefLabel,sAltLabels
454,http://linkeddata.ge.imati.cnr.it/resource/ThIST/chile,http://aims.fao.org/aos/agrovoc/c_1548,E,South America,,,Chile,Bio-Bio| Magallanes| Atacama| Linares| Llanquihue| Tarapaca| Colchagua| Valdivia| Curico| Cautin| Chiloe| Osorno| Coquimbo| Maule| Malleco| Nuble| O'Higgins| Republic of Chile| Valparaiso| Santiago (Chile)| Talca| Concepcion (Chile)| Antofagasta| Aysen| Arauco,South America| Latin America,Patagonia| Strait of Magellan,Atacama Desert| Andes| Patagonian Andes| Patagonia| Tierra del Fuego,Chile,
455,http://linkeddata.ge.imati.cnr.it/resource/ThIST/colombia,http://aims.fao.org/aos/agrovoc/c_1767,E,South America,,,Colombia,Republic of Colombia,South America| Latin America,Magdalena River| Bogota Colombia,Orinoco River| Andes| Orinoco River Basin| Amazon River Basin| Magdalena River Basin,Colombia,
456,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ecuador,http://aims.fao.org/aos/agrovoc/c_2485,E,South America,Galapagos Islands,,Ecuador,Republic of Ecuador,South America| Latin America,Galapagos Islands| Quito Ecuador,Andes| Amazon River Basin,Ecuador,
457,http://linkeddata.ge.imati.cnr.it/resource/ThIST/paraguay,http://aims.fao.org/aos/agrovoc/c_5560,E,South America,,,Paraguay,Republic of Paraguay,South America| Latin America,Asunción Paraguay,ParanÓ River| Gran Chaco| Paraguay River| ParanÓ River Basin,Paraguay,
458,http://linkeddata.ge.imati.cnr.it/resource/ThIST/peru,http://aims.fao.org/aos/agrovoc/c_5725,E,South America,,,Peru,Republic of Peru,South America| Latin America,Lima Perù| Cusco Perù,Andes| Titicaca Lake| Amazonas River| Amazon River Basin,Perù,
459,http://linkeddata.ge.imati.cnr.it/resource/ThIST/uruguay,http://aims.fao.org/aos/agrovoc/c_8113,E,South America,,,Uruguay,Eastern Republic of Uruguay,South America| Latin America,Montevideo Uruguay,Rio Uruguay| Rio de la Plata| Uruguay River Basin,Uruguay,
460,http://linkeddata.ge.imati.cnr.it/resource/ThIST/frangiflutti,http://aims.fao.org/aos/agrovoc/c_1074,E,Hydraulic structures,,,Breakwaters,,marine installations,,applied geology| tombolos| shorelines,breakwaters,
461,http://linkeddata.ge.imati.cnr.it/resource/ThIST/fort-de-france,http://aims.fao.org/aos/agrovoc/c_4635,E,French West Indies,,,Martinique,French West Indies (Martinique),Martinique,,,Martinique,
462,http://linkeddata.ge.imati.cnr.it/resource/ThIST/martinique,http://aims.fao.org/aos/agrovoc/c_4635,E,French West Indies,,,Martinique,French West Indies (Martinique),Caribbean region| Lesser Antilles| France| Central America| Antilles| West Indies,Martinique| Mount Pelee,Caribbean Sea,Martinique,
463,http://linkeddata.ge.imati.cnr.it/resource/ThIST/frana,http://aims.fao.org/aos/agrovoc/c_4187,E,Natural disasters| Erosion,,Avalanches,Landslides,Landslips| Rock slides,mass movements,rockfalls| earthflows| paleolandslide| Vajont landslide,rockslides| soil erosion| slumping| engineering geology| retaining walls| soils| sackung| erosion| avalanches| mudflows| applied geology| roof bolts| debris flows| mudslides| slope| slopes| disarray| gravity sliding| gravity flows| geomorphology| geologic hazards| deep gravity deformation| creep| stability monitoring| debris cones| talus slopes| slope stability,landslides,
464,http://linkeddata.ge.imati.cnr.it/resource/ThIST/valanga,http://aims.fao.org/aos/agrovoc/c_727,E,Natural disasters,,Landslides,Avalanches,,mass movements,,snow| slope| geomorphology| geologic hazards| landslides| slope stability,avalanches,
465,http://linkeddata.ge.imati.cnr.it/resource/ThIST/isolebaleari,http://aims.fao.org/aos/agrovoc/c_63329,E,Spain,,,Balearic Islands,,Mediterranean region| Spain| Southern Europe,Ibiza Spain| Majorca Spain| Palma Majorca| Formentera Spain| Minorca Spain,Mediterranean Sea,Balearic Islands,
466,http://linkeddata.ge.imati.cnr.it/resource/ThIST/mareadriatico,http://aims.fao.org/aos/agrovoc/c_136,E,Mediterranean Sea,,,Adriatic Sea,,East Mediterranean| Mediterranean Sea,,Lesina Lake| Comacchio Valleys| Rimini Italy| Tremiti Islands| Adriatic Basin| Yugoslavia| Greece| Varano Lake,Adriatic Sea,
467,http://linkeddata.ge.imati.cnr.it/resource/ThIST/marnero,http://aims.fao.org/aos/agrovoc/c_946,E,Seas,,,Black Sea,,East Mediterranean| Mediterranean Sea,,Bosporus| Azov Sea| Eurasia,Black Sea,
