s;o;KindOfLink
http://linkeddata.ge.imati.cnr.it/resource/ThIST/vietnam;http://aims.fao.org/aos/agrovoc/c_8227;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/k%C3%B4mpuchea;http://aims.fao.org/aos/agrovoc/c_4073;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/singapura;http://aims.fao.org/aos/agrovoc/c_7077;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/singapura;http://aims.fao.org/aos/agrovoc/c_7077;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/giava;http://aims.fao.org/aos/agrovoc/c_4043;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/maluku;http://aims.fao.org/aos/agrovoc/c_4552;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/timor;http://aims.fao.org/aos/agrovoc/c_7780;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/malaysia;http://aims.fao.org/aos/agrovoc/c_4533;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/delhi;http://aims.fao.org/aos/agrovoc/c_2164;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/bangladesh;http://aims.fao.org/aos/agrovoc/c_810;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/druk;http://aims.fao.org/aos/agrovoc/c_897;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/india;http://aims.fao.org/aos/agrovoc/c_3825;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/nepal;http://aims.fao.org/aos/agrovoc/c_5124;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/assam;http://aims.fao.org/aos/agrovoc/c_675;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/punjab;http://aims.fao.org/aos/agrovoc/c_6373;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/myanmar;http://aims.fao.org/aos/agrovoc/c_1155;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/palestina;http://aims.fao.org/aos/agrovoc/c_37924;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/afghanistan;http://aims.fao.org/aos/agrovoc/c_163;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/alurdun;http://aims.fao.org/aos/agrovoc/c_4053;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiumetigri;http://aims.fao.org/aos/agrovoc/c_29747;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiumetigri;http://aims.fao.org/aos/agrovoc/c_29747;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/kypros;http://aims.fao.org/aos/agrovoc/c_2080;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/suriyah;http://aims.fao.org/aos/agrovoc/c_7576;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/turkiye;http://aims.fao.org/aos/agrovoc/c_8013;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/turkiye;http://aims.fao.org/aos/agrovoc/c_8013;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/yisrael;http://aims.fao.org/aos/agrovoc/c_3972;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/aliraq;http://aims.fao.org/aos/agrovoc/c_3941;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/alkuwayt;http://aims.fao.org/aos/agrovoc/c_4119;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/lubnan;http://aims.fao.org/aos/agrovoc/c_4244;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/atlanticonordorientale;http://aims.fao.org/aos/agrovoc/c_5227;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/atlanticonordorientale;http://aims.fao.org/aos/agrovoc/c_5227;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/atlanticooccidentale;http://aims.fao.org/aos/agrovoc/c_29125;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/atlanticoorientale;http://aims.fao.org/aos/agrovoc/c_29124;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/atlanticosettentrionale;http://aims.fao.org/aos/agrovoc/c_29120;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/marcaribe;http://aims.fao.org/aos/agrovoc/c_1321;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/isolecanarie;http://aims.fao.org/aos/agrovoc/c_1241;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/troposfera;http://aims.fao.org/aos/agrovoc/c_35034;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/neve;http://aims.fao.org/aos/agrovoc/c_7124;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/pioggiaacida;http://aims.fao.org/aos/agrovoc/c_15933;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/australia;http://aims.fao.org/aos/agrovoc/c_714;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/australia;http://aims.fao.org/aos/agrovoc/c_714;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/newzealand;http://aims.fao.org/aos/agrovoc/c_5164;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/papuanewguinea;http://aims.fao.org/aos/agrovoc/c_5555;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/tasmania;http://aims.fao.org/aos/agrovoc/c_7622;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/candida;http://aims.fao.org/aos/agrovoc/c_1247;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/noci;http://aims.fao.org/aos/agrovoc/c_15254;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/monopoli;http://aims.fao.org/aos/agrovoc/c_4920;NA
http://linkeddata.ge.imati.cnr.it/resource/ThIST/monopoli;http://aims.fao.org/aos/agrovoc/c_4920;NA
http://linkeddata.ge.imati.cnr.it/resource/ThIST/bacinoidrografico;http://aims.fao.org/aos/agrovoc/c_8334;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/hamilton;http://aims.fao.org/aos/agrovoc/c_884;N
http://linkeddata.ge.imati.cnr.it/resource/ThIST/venerida;http://aims.fao.org/aos/agrovoc/c_36330;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/lana;http://aims.fao.org/aos/agrovoc/c_8436;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/perca;http://aims.fao.org/aos/agrovoc/c_5693;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/tirolo;http://aims.fao.org/aos/agrovoc/c_8034;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/borace;http://aims.fao.org/aos/agrovoc/c_1011;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/amazonas;http://aims.fao.org/aos/agrovoc/c_32372;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/amazonas;http://aims.fao.org/aos/agrovoc/c_32372;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/minasgerais;http://aims.fao.org/aos/agrovoc/c_4847;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/capriolo;http://aims.fao.org/aos/agrovoc/c_24107;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/balcani;http://aims.fao.org/aos/agrovoc/c_799;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/alberta;http://aims.fao.org/aos/agrovoc/c_243;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/manitoba;http://aims.fao.org/aos/agrovoc/c_4585;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/quebec;http://aims.fao.org/aos/agrovoc/c_6404;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/saskatchewan;http://aims.fao.org/aos/agrovoc/c_6818;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/terranova;http://aims.fao.org/aos/agrovoc/c_5167;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/territoriodelloyukon;http://aims.fao.org/aos/agrovoc/c_8495;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/scozia;http://aims.fao.org/aos/agrovoc/c_6881;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ontario;http://aims.fao.org/aos/agrovoc/c_5358;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/canada;http://aims.fao.org/aos/agrovoc/c_1236;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/calcite;http://aims.fao.org/aos/agrovoc/c_32396;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/dolomite;http://aims.fao.org/aos/agrovoc/c_29215;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/melissa;http://aims.fao.org/aos/agrovoc/c_25463;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/angola;http://aims.fao.org/aos/agrovoc/c_417;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiumecongo;http://aims.fao.org/aos/agrovoc/c_29751;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiumecongo;http://aims.fao.org/aos/agrovoc/c_29751;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/belize;http://aims.fao.org/aos/agrovoc/c_871;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/honduras;http://aims.fao.org/aos/agrovoc/c_3651;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/nicaragua;http://aims.fao.org/aos/agrovoc/c_5171;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ha%C3%AFti;http://aims.fao.org/aos/agrovoc/c_3472;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/germania;http://aims.fao.org/aos/agrovoc/c_3245;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/mexico;http://aims.fao.org/aos/agrovoc/c_4792;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/yunnan;http://aims.fao.org/aos/agrovoc/c_8496;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/vertebrata;http://aims.fao.org/aos/agrovoc/c_331312;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/amiidae;http://aims.fao.org/aos/agrovoc/c_38994;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/cyprinidae;http://aims.fao.org/aos/agrovoc/c_40064;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/anura;http://aims.fao.org/aos/agrovoc/c_29104;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/crocodilia;http://aims.fao.org/aos/agrovoc/c_49102;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/bison;http://aims.fao.org/aos/agrovoc/c_939;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/cervus;http://aims.fao.org/aos/agrovoc/c_34162;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/camelidae;http://aims.fao.org/aos/agrovoc/c_15595;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/camelidae;http://aims.fao.org/aos/agrovoc/c_15595;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/bovidae;http://aims.fao.org/aos/agrovoc/c_1038;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/cervidae;http://aims.fao.org/aos/agrovoc/c_1480;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/tylopoda;http://aims.fao.org/aos/agrovoc/c_331085;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/suidae;http://aims.fao.org/aos/agrovoc/c_31903;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ruminantia;http://aims.fao.org/aos/agrovoc/c_13994;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/canis;http://aims.fao.org/aos/agrovoc/c_331214;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ursus;http://aims.fao.org/aos/agrovoc/c_15113;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/canidae;http://aims.fao.org/aos/agrovoc/c_15599;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/felidae;http://aims.fao.org/aos/agrovoc/c_15601;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/hyaenidae;http://aims.fao.org/aos/agrovoc/c_15603;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/mustelidae;http://aims.fao.org/aos/agrovoc/c_15605;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ursidae;http://aims.fao.org/aos/agrovoc/c_15610;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/pinnipedia;http://aims.fao.org/aos/agrovoc/c_5889;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/elasmobranchii;http://aims.fao.org/aos/agrovoc/c_10566;E
